HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
yarn.nm.liveness-monitor.expiry-interval-ms,yarn.dispatcher.drain-events.timeout,yarn.resourcemanager.history-writer.multi-threaded-dispatcher.pool-size
yarn.resourcemanager.work-preserving-recovery.scheduling-wait-ms,yarn.resourcemanager.rm.container-allocation.expiry-interval-ms,yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin.cache-refresh-interval-secs
yarn.resourcemanager.leveldb-state-store.compaction-interval-secs,yarn.resourcemanager.nm-container-queuing.min-queue-length,yarn.resourcemanager.system-metrics-publisher.timeline-server-v1.enable-batch
yarn.resourcemanager.delegation-token.max-conf-size-bytes,yarn.sharedcache.admin.thread-count,yarn.nodemanager.disk-health-checker.disk-utilization-watermark-low-per-disk-percentage
yarn.resourcemanager.nodemanagers.heartbeat-interval-speedup-factor,yarn.nodemanager.runtime.linux.runc.layer-mounts-interval-secs,yarn.nodemanager.delete.thread-count
yarn.resourcemanager.system-metrics-publisher.timeline-server-v1.enable-batch,yarn.timeline-service.recovery.enabled,yarn.nodemanager.remote-app-log-dir-include-older
yarn.resourcemanager.delegation.key.update-interval,yarn.resourcemanager.am.global.max-attempts,yarn.nodemanager.resource.memory.enabled
yarn.resourcemanager.reservation-system.enable,yarn.nodemanager.resource.memory-mb,yarn.nodemanager.vmem-pmem-ratio
yarn.resourcemanager.reservation-system.planfollower.time-step,yarn.nodemanager.recovery.enabled,yarn.nodemanager.resource.count-logical-processors-as-cores
yarn.nodemanager.collector-service.thread-count,yarn.nodemanager.collector-service.thread-count,yarn.resourcemanager.activities-manager.app-activities.ttl-ms
yarn.nodemanager.localizer.cache.cleanup.interval-ms,yarn.nodemanager.localizer.cache.cleanup.interval-ms,yarn.resourcemanager.application.max-tags
yarn.log-aggregation-enable,yarn.log-aggregation-enable,yarn.dispatcher.print-events-info.threshold
yarn.resourcemanager.application-tag-based-placement.enable,yarn.resourcemanager.application-tag-based-placement.enable,yarn.webapp.enable-rest-app-submissions
