HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
yarn.log-aggregation.retain-seconds,yarn.nodemanager.container-monitor.enabled,yarn.nodemanager.resourcemanager.connect.max-wait.ms
yarn.nodemanager.remote-app-log-dir-include-older,yarn.nodemanager.container-log-monitor.enable,yarn.nodemanager.resource-monitor.interval-ms
yarn.nodemanager.resource.memory.enabled,yarn.nodemanager.container-log-monitor.dir-size-limit-bytes,yarn.nodemanager.container-metrics.unregister-delay-ms
yarn.nodemanager.vmem-pmem-ratio,yarn.nodemanager.health-checker.timeout-ms,yarn.nodemanager.log.deletion-threads-count
yarn.nodemanager.resource.count-logical-processors-as-cores,yarn.nodemanager.disk-health-checker.min-healthy-disks,yarn.resourcemanager.proxy.connection.timeout
yarn.nodemanager.resource.detect-hardware-capabilities,yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage,yarn.timeline-service.generic-application-history.max-applications
yarn.nodemanager.container-monitor.enabled,yarn.nodemanager.runtime.linux.runc.layer-mounts-to-keep,yarn.timeline-service.ttl-ms
yarn.nodemanager.container-log-monitor.enable,yarn.nodemanager.linux-container-executor.cgroups.delete-timeout-ms,yarn.timeline-service.client.retry-interval-ms
yarn.nodemanager.container-log-monitor.dir-size-limit-bytes,yarn.nodemanager.aux-services.manifest.enabled,yarn.timeline-service.client.internal-timers-ttl-secs
yarn.nodemanager.health-checker.timeout-ms,yarn.nodemanager.sleep-delay-before-sigkill.ms,yarn.timeline-service.hbase.coprocessor.app-final-value-retention-milliseconds
yarn.nodemanager.disk-health-checker.min-healthy-disks,yarn.client.nodemanager-client-async.thread-pool-max-size,yarn.nodemanager.runtime.linux.docker.default-rw-mounts
yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage,yarn.nodemanager.recovery.compaction-interval-secs,yarn.nodemanager.runtime.linux.runc.layer-mounts-to-keep
yarn.nodemanager.disk-health-checker.min-free-space-per-disk-watermark-high-mb,yarn.sharedcache.store.in-memory.initial-delay-mins,yarn.nodemanager.linux-container-executor.cgroups.delete-timeout-ms
yarn.nodemanager.linux-container-executor.cgroups.mount,yarn.sharedcache.store.in-memory.check-period-mins,yarn.nodemanager.aux-services.manifest.enabled
yarn.nodemanager.runtime.linux.docker.default-ro-mounts,yarn.sharedcache.cleaner.period-mins,yarn.nodemanager.sleep-delay-before-sigkill.ms
yarn.nodemanager.runtime.linux.docker.default-rw-mounts,yarn.sharedcache.nm.uploader.thread-count,yarn.client.nodemanager-client-async.thread-pool-max-size
yarn.nodemanager.runtime.linux.runc.layer-mounts-to-keep,yarn.node-labels.enabled,yarn.nodemanager.disk-health-checker.min-healthy-disks
yarn.nodemanager.linux-container-executor.cgroups.delete-timeout-ms,yarn.nodemanager.node-labels.provider,yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage
yarn.nodemanager.aux-services.manifest.enabled,yarn.nodemanager.node-labels.provider.fetch-interval-ms,yarn.nodemanager.disk-health-checker.min-free-space-per-disk-watermark-high-mb
yarn.nodemanager.sleep-delay-before-sigkill.ms,yarn.nodemanager.node-labels.provider.fetch-timeout-ms,yarn.nodemanager.linux-container-executor.cgroups.mount
yarn.client.nodemanager-client-async.thread-pool-max-size,yarn.http.rmwebapp.external.classes,yarn.nodemanager.runtime.linux.docker.default-ro-mounts
yarn.nodemanager.recovery.compaction-interval-secs,yarn.http.rmwebapp.custom.dao.classes,yarn.http.rmwebapp.external.classes
yarn.nodemanager.container-metrics.unregister-delay-ms,yarn.client.application-client-protocol.poll-interval-ms,yarn.http.rmwebapp.custom.dao.classes
yarn.nodemanager.log.deletion-threads-count,yarn.client.application-client-protocol.poll-timeout-ms,yarn.client.application-client-protocol.poll-interval-ms
yarn.resourcemanager.proxy.connection.timeout,yarn.resourcemanager.activities-manager.app-activities.ttl-ms,yarn.client.application-client-protocol.poll-timeout-ms
yarn.timeline-service.generic-application-history.max-applications,yarn.resourcemanager.application.max-tags,yarn.cluster.max-application-priority
yarn.timeline-service.ttl-ms,yarn.dispatcher.print-events-info.threshold,yarn.timeline-service.app-aggregation-interval-secs
yarn.timeline-service.client.retry-interval-ms,yarn.webapp.enable-rest-app-submissions,yarn.sharedcache.nested-level
yarn.timeline-service.client.internal-timers-ttl-secs,yarn.nodemanager.resourcemanager.connect.max-wait.ms,
yarn.timeline-service.hbase.coprocessor.app-final-value-retention-milliseconds,,
yarn.timeline-service.app-aggregation-interval-secs,,
yarn.sharedcache.nested-level,,
yarn.sharedcache.store.in-memory.staleness-period-mins,,
yarn.sharedcache.store.in-memory.initial-delay-mins,,
yarn.sharedcache.store.in-memory.check-period-mins,,
yarn.sharedcache.cleaner.period-mins,,
yarn.sharedcache.nm.uploader.thread-count,,
yarn.node-labels.enabled,,
yarn.nodemanager.node-labels.provider,,
yarn.nodemanager.node-labels.provider.fetch-interval-ms,,
yarn.nodemanager.node-labels.provider.fetch-timeout-ms,,
yarn.http.rmwebapp.external.classes,,
yarn.http.rmwebapp.custom.dao.classes,,
yarn.client.application-client-protocol.poll-interval-ms,,
yarn.client.application-client-protocol.poll-timeout-ms,,
yarn.cluster.max-application-priority,,
yarn.resourcemanager.opportunistic-container-allocation.nodes-used,,
yarn.resourcemanager.nm-container-queuing.max-queue-length,,
yarn.resourcemanager.nm-container-queuing.max-queue-wait-time-ms,,
yarn.resourcemanager.node-removal-untracked.timeout-ms,,
yarn.nodemanager.resource-plugins.fpga.path-to-discovery-executables,,
yarn.resourcemanager.activities-manager.app-activities.ttl-ms,,
yarn.resourcemanager.application.max-tags,,
yarn.dispatcher.print-events-info.threshold,,
yarn.webapp.enable-rest-app-submissions,,
yarn.nodemanager.resourcemanager.connect.max-wait.ms,,
yarn.nodemanager.resource-monitor.interval-ms,,
yarn.resourcemanager.resource-profiles.enabled,,
yarn.resourcemanager.delegation.token.max-lifetime,,
yarn.nodemanager.runtime.linux.docker.enable-userremapping.allowed,,
