HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
yarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts,mapreduce.reduce.input.buffer.percent,mapreduce.map.output.compress
yarn.app.mapreduce.am.hard-kill-timeout-ms,mapreduce.reduce.shuffle.retry-delay.max.ms,yarn.app.mapreduce.am.job.committer.commit-window
mapreduce.task.skip.start.attempts,mapreduce.job.cache.limit.max-single-resource-mb,mapreduce.jobhistory.loadedtasks.cache.size
mapreduce.task.io.sort.mb,yarn.app.mapreduce.am.webapp.https.client.auth,mapreduce.map.skip.proc-count.auto-incr
mapreduce.task.io.sort.factor,mapreduce.task.timeout,mapreduce.task.merge.progress.records
mapreduce.shuffle.transferTo.allowed,mapreduce.reduce.node-label-expression,mapreduce.task.skip.start.attempts
mapreduce.shuffle.transfer.buffer.size,mapreduce.jobhistory.loadedjobs.cache.size,mapreduce.task.io.sort.mb
mapreduce.reduce.skip.proc-count.auto-incr,mapreduce.job.encrypted-intermediate-data,mapreduce.task.io.sort.factor
mapreduce.reduce.shuffle.read.timeout,mapreduce.job.am.node-label-expression,mapreduce.shuffle.transferTo.allowed
mapreduce.reduce.shuffle.parallelcopies,mapreduce.task.stuck.timeout-ms,mapreduce.shuffle.transfer.buffer.size
mapreduce.reduce.shuffle.fetch.retry.timeout-ms,mapreduce.jobhistory.webapp.rest-csrf.enabled,mapreduce.reduce.skip.proc-count.auto-incr
mapreduce.reduce.shuffle.connect.timeout,mapreduce.reduce.memory.mb,mapreduce.reduce.merge.inmem.threshold
mapreduce.reduce.merge.inmem.threshold,mapreduce.map.sort.spill.percent,mapreduce.reduce.memory.mb
mapreduce.reduce.memory.mb,mapreduce.map.node-label-expression,mapreduce.map.sort.spill.percent
mapreduce.map.sort.spill.percent,mapreduce.map.memory.mb,mapreduce.map.node-label-expression
mapreduce.map.node-label-expression,mapreduce.job.split.metainfo.maxsize,mapreduce.map.memory.mb
mapreduce.map.memory.mb,mapreduce.job.speculative.retry-after-speculate,mapreduce.job.speculative.retry-after-speculate
mapreduce.jobhistory.move.thread-count,mapreduce.job.running.map.limit,mapreduce.job.running.map.limit
mapreduce.jobhistory.loadedjob.tasks.max,mapreduce.job.reduces,mapreduce.job.reduces
mapreduce.job.ubertask.maxbytes,mapreduce.job.reducer.unconditional-preempt.delay.sec,mapreduce.job.reducer.unconditional-preempt.delay.sec
mapreduce.job.tags,mapreduce.job.reducer.preempt.delay.sec,mapreduce.job.reducer.preempt.delay.sec
mapreduce.job.split.metainfo.maxsize,mapreduce.job.reduce.slowstart.completedmaps,mapreduce.job.reduce.slowstart.completedmaps
mapreduce.job.speculative.retry-after-speculate,mapreduce.job.node-label-expression,yarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts
mapreduce.job.running.map.limit,mapreduce.job.max.split.locations,mapreduce.job.cache.limit.max-resources-mb
mapreduce.job.reduces,mapreduce.job.local-fs.single-disk-limit.check.interval-ms,mapreduce.input.lineinputformat.linespermap
mapreduce.job.reducer.unconditional-preempt.delay.sec,mapreduce.job.local-fs.single-disk-limit.bytes,mapreduce.client.progressmonitor.pollinterval
mapreduce.job.reducer.preempt.delay.sec,mapreduce.job.heap.memory-mb.ratio,mapreduce.jobhistory.cleaner.enable
mapreduce.job.reduce.slowstart.completedmaps,mapreduce.job.end-notification.max.attempts,
mapreduce.job.node-label-expression,mapreduce.job.cache.limit.max-resources-mb,
mapreduce.job.max.split.locations,,
mapreduce.job.local-fs.single-disk-limit.check.interval-ms,,
mapreduce.job.local-fs.single-disk-limit.bytes,,
mapreduce.job.heap.memory-mb.ratio,,
mapreduce.job.end-notification.retry.attempts,,
mapreduce.job.end-notification.max.retry.interval,,
mapreduce.job.end-notification.max.attempts,,
mapreduce.job.cache.limit.max-resources-mb,,
mapreduce.input.lineinputformat.linespermap,,
mapreduce.client.progressmonitor.pollinterval,,
mapreduce.jobhistory.cleaner.enable,,
