Software,All,True Performance-related,Manual Performance-related,Code Performance-related,ManualTP,CodeTP,ManualFP,CodeFP,ManualFN,CodeFN
Httpd,77,15,37,36,13,11,24,25,2,4
Lighttpd,62,18,36,38,14,12,20,23,2,3
Nginx,79,12,52,47,10,8,42,37,2,2
Redis,115,36,81,75,23,21,50,44,5,5
Mysql,103,26,72,68,23,19,49,49,3,7
Hdfs,223,58,112,84,39,40,63,36,9,10
Mapreduce,218,56,106,93,38,36,55,48,5,11
Hbase,227,35,74,64,15,25,42,35,3,6
Yarn,545,86,176,141,30,56,96,69,6,14
Tomcat,45,12,32,26,11,11,21,15,1,1
Sum,1694,354,778,672,216,239,462,381,38,63
