ConfigurationA,ConfigurationB,Aperformance-sensitive,Bperformance-sensitive,source,type,|C| ≥ 3
max_heap_table_size,tmp_table_size,1,1,both,PerfOnly,0
wait_timeout,interactive_timeout,1,0,both,Mixed,0
transaction_prealloc_size,transaction_alloc_block_size,1,1,both,PerfOnly,0
select_into_buffer_size,select_into_disk_sync_delay,1,1,both,PerfOnly,1
max_sort_length,sort_buffer_size,0,1,Manual,Mixed,0
read_buffer_size,select_into_buffer_size,1,1,Manual,PerfOnly,1
max_allowed_packet,net_buffer_length,1,0,both,Mixed,0
session_track_transaction_info,transaction_read_only,0,1,both,Mixed,0
