Precision,Recall,F1Score
0.1907371967580477,0.6638200750807289,0.26898621431518144
0.20916936540448475,0.6725763965983745,0.3249482532926623
0.17798667310601435,0.6521717501659304,0.30425434605148327
0.1820769868286159,0.6688171025831293,0.24332829513345822
0.17254509108125377,0.6323513374502031,0.2801000259031409
0.18652658702156122,0.675391778710986,0.2185004712827861
0.1831059850499124,0.6558328819714534,0.3251935126741539
0.20501773613350907,0.67005244418385,0.32556388910727435
0.18755395438152858,0.6661169348883668,0.27963995953248144
0.18412899233788751,0.6766367364886234,0.2958697866455214
