name,sysbench-10000-4-16-20,tpcc-w2-1-10,tpcc-w4-4-20,sysbench-1000-8-8-40
max_heap_table_size,"(13340.39, 12553.67, 10934.13)","(1254.66, 1262.74, 1296.12)","(49.37, 48.97, 49.22)","(5055.46, 5019.04, 4946.16)"
tmp_table_size,"(13951.32, 12899.09, 10549.68)","(1369.77, 1324.00, 1363.06)","(49.24, 48.65, 47.60)","(5155.91, 5140.71, 4930.85)"
end_markers_in_json,"(11895.20, 11901.76)","(1323.52, 1310.19)","(47.92, 48.12)","(4990.77, 4982.63)"
windowing_use_high_precision,"(12294.72, 11921.91)","(1357.57, 1308.68)","(48.56, 48.45)","(5107.34, 4906.52)"
optimizer_switch,"(12029.16, 11851.29, 11877.53, 12021.85, 11838.84, 12012.24)","(1321.30, 1320.77, 1318.78, 1311.47, 1314.79, 1319.48)","(48.43, 48.16, 48.16, 48.31, 48.19, 48.37)","(4941.52, 4944.11, 4942.85, 4943.59, 4943.02, 4942.40)"
optimizer_trace,"(11826.99, 11973.88, 11974.10)","(1264.50, 1273.23, 1287.25)","(47.06, 48.60, 48.38)","(4705.82, 5017.80, 4736.56)"
optimizer_trace_features,"(12277.64, 11912.97, 11925.19)","(1270.74, 1312.30, 1335.20)","(50.32, 47.68, 50.01)","(4991.40, 4923.32, 4900.46)"
optimizer_trace_offset,"(11842.40, 11924.34, 11941.95)","(1358.01, 1298.11, 1344.11)","(49.43, 48.61, 48.30)","(5150.64, 5069.15, 4993.53)"
optimizer_trace_limit,"(11386.96, 11475.25, 12310.84)","(1251.97, 1260.56, 1272.76)","(46.70, 46.98, 49.45)","(4893.83, 4940.04, 4901.32)"
optimizer_trace_max_mem_size,"(12315.81, 11533.12, 11674.76)","(1269.95, 1294.37, 1340.09)","(46.98, 48.06, 48.24)","(5130.63, 4935.20, 5106.65)"
sql_mode,"(11944.85, 11918.60, 11933.97, 11902.71, 11918.35, 11926.56)","(1320.09, 1311.97, 1315.98, 1319.19, 1312.22, 1317.72)","(48.05, 48.49, 48.49, 48.26, 48.25, 48.27)","(4984.93, 4912.30, 4924.49, 4916.46, 4977.39, 4907.03)"
autocommit,"(12023.80, 11913.54)","(1306.90, 1308.91)","(47.99, 48.30)","(4971.37, 4920.41)"
sql_select_limit,"(11851.37, 11947.95, 11954.15)","(1368.80, 1308.81, 1362.53)","(48.06, 48.31, 48.18)","(5077.12, 4934.40, 4857.39)"
max_join_size,"(11329.33, 11881.81, 11407.40)","(1291.78, 1300.56, 1298.07)","(50.57, 47.16, 50.31)","(4958.29, 4953.48, 4932.88)"
bulk_insert_buffer_size,"(12501.54, 11432.08, 11591.63)","(1350.15, 1289.70, 1299.81)","(47.17, 47.52, 47.20)","(4897.93, 4979.89, 4901.97)"
eq_range_index_dive_limit,"(11571.26, 12090.93, 12220.32)","(1358.09, 1301.04, 1335.32)","(46.63, 47.10, 49.92)","(4830.08, 4896.45, 4911.87)"
cte_max_recursion_depth,"(11367.84, 11587.88, 12104.32)","(1506.00, 1394.91, 1162.84)","(48.84, 48.34, 48.31)","(5114.65, 5043.05, 4926.64)"
histogram_generation_max_mem_size,"(11365.26, 12453.01, 11425.08)","(1359.51, 1321.34, 1299.61)","(49.43, 47.93, 47.66)","(4863.31, 5019.74, 5018.36)"
join_buffer_size,"(11388.94, 11892.83, 11934.47)","(1285.18, 1298.78, 1287.12)","(49.26, 48.49, 47.34)","(4858.94, 4900.12, 4910.53)"
lock_wait_timeout,"(11802.39, 12015.81, 11818.67)","(1392.00, 1276.38, 1388.78)","(46.72, 48.16, 48.00)","(4722.74, 4916.72, 4821.75)"
max_allowed_packet,"(11412.34, 11563.87, 12078.49)","(1369.99, 1363.73, 1307.17)","(49.74, 47.29, 48.15)","(246.58, 1508.21, 9126.64)"
max_error_count,"(11866.95, 11909.93, 11895.52)","(1273.70, 1310.58, 1337.44)","(48.23, 48.25, 48.32)","(4773.80, 5093.34, 5098.91)"
max_length_for_sort_data,"(11324.85, 12435.12, 11931.87)","(1354.10, 1291.11, 1333.98)","(48.96, 48.68, 47.73)","(5083.44, 5057.70, 5049.15)"
max_points_in_geometry,"(13654.34, 12714.26, 13272.10)","(nan, nan, 'nan')","(46.13, 48.55, 48.08)","(5002.42, 4926.97, 4966.05)"
max_sort_length,"(11566.42, 12161.26, 12169.34)","(1298.93, 1319.68, 1306.26)","(47.02, 49.45, 48.17)","(4757.85, 4826.06, 4890.71)"
max_insert_delayed_threads,"(12499.76, 11956.99, 11826.15)","(1261.33, 1346.63, 1287.03)","(50.01, 47.74, 48.17)","(4870.14, 4959.12, 4870.19)"
