name,ab10000-100,ab10000-1000,jmeter1
large_client_header_buffers,"(6150.55, 6922.35, 6578.17)","(6090.71, 5568.74, 5663.34)","(3621.10, 2805.12, 3208.85)"
limit_except,"(6801.40, 6991.56, 6910.62)","(5687.92, 5662.54, 5557.62)","(3145.10, 2992.10, 2989.62)"
limit_rate,"(6630.42, 6873.31, 6961.38)","(5665.88, 5585.17, 5516.36)","(3162.69, 2938.06, 3153.07)"
limit_rate_after,"(6709.76, 6750.55, 6864.80)","(5589.25, 5589.80, 5590.29)","(3062.86, 3031.06, 3028.41)"
lingering_close,"(6733.54, 6643.45, 6906.86, 6894.30, 6932.99, 6392.02)","(5621.58, 5597.05, 5620.48, 5597.24, 5581.98, 5611.27)","(3054.97, 3021.71, 3046.00, 3033.21, 3023.37, 3023.85)"
lingering_time,"(6728.31, 6592.39, 6396.39)","(5601.02, 5583.45, 5595.96)","(3007.49, 3061.27, 3008.45)"
lingering_timeout,"(6889.01, 6674.42, 6986.75)","(5858.71, 5727.40, 5826.32)","(3081.58, 3078.90, 2994.21)"
listen,"(6561.71, 6965.21, 6844.27, 6421.77, 6619.95, 6635.04)","(5601.54, 5585.54, 5579.52, 5593.58, 5590.05, 5585.54)","(3180.28, 2947.55, 3150.35, 3137.33, 3156.07, 2895.09)"
location,"(6494.41, 6749.53, 6487.20)","(5822.68, 5672.53, 5617.27)","(2894.40, 3138.67, 3072.57)"
log_not_found,"(6680.85, 6714.01)","(5623.86, 5583.02)","(3044.92, 3040.91)"
log_subrequest,"(7019.32, 6836.13)","(5652.05, 5615.38)","(3023.35, 3029.06)"
max_ranges,"(6710.77, 6401.48, 6854.05)","(5601.33, 5594.93, 5587.69)","(3005.76, 3064.32, 3052.55)"
merge_slashes,"(6722.24, 6990.36)","(5541.12, 5619.33)","(3029.66, 3030.26)"
msie_padding,"(6724.42, 6799.41)","(5542.82, 5549.08)","(3023.79, 3045.48)"
msie_refresh,"(6667.98, 6798.51)","(5548.14, 5564.64)","(3027.43, 3045.64)"
open_file_cache,"(6746.96, 6896.99)","(5622.03, 5611.25)","(3034.91, 3037.34)"
open_file_cache_errors,"(6702.34, 6537.16)","(5569.03, 5575.42)","(3052.64, 3047.55)"
