name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
mapreduce.job.ubertask.maxmaps,"(380.00, 366.00, 363.00)","(265408.00, 259822.00, 252346.00)","(383.00, 390.00, 391.00)"
mapreduce.job.ubertask.enable,"(367.00, 362.00, 362.00)","(262147.00, 260145.00, 256626.00)","(402.00, 375.00, 391.00)"
mapreduce.job.speculative.speculative-cap-total-tasks,"(371.00, 384.00, 373.00)","(263285.00, 259776.00, 254722.00)","(375.00, 395.00, 395.00)"
mapreduce.job.max.map,"(355.00, 358.00, 374.00)","(253413.00, 256137.00, 255449.00)","(402.00, 375.00, 386.00)"
mapreduce.job.log4j-properties-file,"(370.00, 367.00, 366.00)","(267416.00, 255951.00, 252528.00)","(373.00, 394.00, 379.00)"
mapreduce.job.end-notification.url,"(388.00, 382.00, 375.00)","(262747.00, 260595.00, 259581.00)","(394.00, 389.00, 388.00)"
mapreduce.job.encrypted-intermediate-data-key-size-bits,"(356.00, 382.00, 361.00)","(249604.00, 258160.00, 257340.00)","(370.00, 374.00, 400.00)"
mapreduce.job.dfs.storage.capacity.kill-limit-exceed,"(358.00, 385.00, 365.00)","(246202.00, 255992.00, 246998.00)","(383.00, 390.00, 383.00)"
mapreduce.job.classloader,"(374.00, 388.00)","(259358.00, 258262.00)","(389.00, 387.00)"
mapreduce.job.cache.limit.max-single-resource-mb,"(377.00, 359.00)","(216709.00, 251181.00)","(382.00, 385.00)"
mapreduce.job.cache.limit.max-resources,"(377.00, 361.00)","(257382.00, 257547.00)","(389.00, 388.00)"
mapreduce.client.submit.file.replication,"(362.00, 392.00)","(248481.00, 254729.00)","(388.00, 388.00)"
mapreduce.application.framework.path,"(385.00, 372.00, 375.00)","(265769.00, 254884.00, 251978.00)","(394.00, 384.00, 392.00)"
mapred.child.java.opts,"(375.00, 373.00)","(258332.00, 258359.00)","(389.00, 388.00)"
map.sort.class,"(364.00, 386.00, 356.00)","(255579.00, 258589.00, 256383.00)","(375.00, 387.00, 398.00)"
mapreduce.reduce.markreset.buffer.percent,"(372.00, 362.00, 359.00)","(264677.00, 264539.00, 255241.00)","(389.00, 388.00, 388.00)"
mapreduce.job.encrypted-intermediate-data,"(374.00, 372.00, 388.00)","(220715.00, 263864.00, 283974.00)","(391.00, 386.00, 387.00)"
mapreduce.task.local-fs.write-limit.bytes,"(377.00, 388.00, 374.00)","(252615.00, 257432.00, 262750.00)","(372.00, 403.00, 397.00)"
mapreduce.map.speculative,"(372.00, 384.00, 380.00)","(259284.00, 258068.00, 258137.00)","(386.00, 386.00, 387.00)"
mapreduce.job.maps,"(373.00, 359.00, 392.00)","(258845.00, 258726.00, 258622.00)","(386.00, 390.00, 387.00)"
mapreduce.fileoutputcommitter.algorithm.version,"(383.00, 389.00, 357.00)","(265501.00, 253771.00, 264678.00)","(384.00, 391.00, 385.00)"
mapreduce.jobhistory.recovery.enable,"(366.00, 381.00, 366.00)","(247421.00, 253537.00, 254227.00)","(393.00, 392.00, 391.00)"
mapreduce.task.exit.timeout,"(376.00, 368.00)","(259191.00, 258010.00)","(390.00, 389.00)"
mapreduce.job.hdfs-servers,"(357.00, 385.00)","(260495.00, 260415.00)","(369.00, 394.00)"
mapreduce.task.combine.progress.records,"(373.00, 381.00, 375.00)","(258774.00, 258727.00, 258740.00)","(387.00, 388.00, 389.00)"
mapreduce.jobhistory.datestring.cache.size,"(366.00, 384.00, 373.00)","(246316.00, 252564.00, 259340.00)","(393.00, 384.00, 390.00)"
mapreduce.job.token.tracking.ids.enabled,"(380.00, 366.00)","(256203.00, 259218.00)","(382.00, 393.00)"
mapreduce.job.token.tracking.ids,"(392.00, 383.00, 389.00)","(246079.00, 262912.00, 263855.00)","(380.00, 386.00, 395.00)"
mapreduce.job.send-token-conf,"(387.00, 391.00, 362.00)","(264557.00, 258330.00, 252636.00)","(381.00, 392.00, 388.00)"
mapreduce.job.redacted-properties,"(378.00, 384.00, 362.00)","(254082.00, 262104.00, 261068.00)","(388.00, 388.00, 389.00)"
mapreduce.job.finish-when-all-reducers-done,"(378.00, 364.00)","(269511.00, 261082.00)","(394.00, 394.00)"
mapreduce.app-submission.cross-platform,"(369.00, 383.00)","(247858.00, 261044.00)","(385.00, 385.00)"
mapreduce.application.classpath,"(391.00, 363.00, 379.00)","(266474.00, 264186.00, 262444.00)","(372.00, 387.00, 378.00)"
mapreduce.job.queuename,"(366.00, 382.00, 367.00)","(270965.00, 262806.00, 266168.00)","(397.00, 380.00, 385.00)"
mapreduce.job.maxtaskfailures.per.tracker,"(372.00, 365.00, 355.00)","(256638.00, 259835.00, 259663.00)","(392.00, 388.00, 386.00)"
mapreduce.job.am.node-label-expression,"(367.00, 379.00, 381.00)","(199968.00, 309700.00, 259706.00)","(375.00, 385.00, 388.00)"
yarn.app.mapreduce.client.max-retries,"(371.00, 369.00, 376.00)","(259778.00, 259374.00, 258040.00)","(392.00, 389.00, 390.00)"
yarn.app.mapreduce.am.resource.mb,"(374.00, 361.00, 390.00)","(256429.00, 256740.00, 257076.00)","(387.00, 389.00, 387.00)"
mapreduce.task.profile.reduce.params,"(376.00, 392.00, 362.00)","(247951.00, 258225.00, 253200.00)","(395.00, 390.00, 387.00)"
mapreduce.task.profile.params,"(376.00, 384.00, 367.00)","(251779.00, 255133.00, 253831.00)","(404.00, 384.00, 380.00)"
mapreduce.task.profile.map.params,"(362.00, 374.00, 362.00)","(246308.00, 259034.00, 261917.00)","(402.00, 388.00, 375.00)"
mapreduce.reduce.node-label-expression,"(360.00, 358.00, 381.00)","(221403.00, 280961.00, 231573.00)","(380.00, 393.00, 382.00)"
mapreduce.reduce.maxattempts,"(360.00, 384.00, 378.00)","(259027.00, 258912.00, 259016.00)","(407.00, 370.00, 400.00)"
mapreduce.job.sharedcache.mode,"(381.00, 379.00, 391.00)","(258663.00, 258593.00, 258619.00)","(401.00, 382.00, 392.00)"
mapreduce.job.running.reduce.limit,"(370.00, 365.00, 388.00)","(260604.00, 258332.00, 256848.00)","(390.00, 390.00, 390.00)"
mapreduce.am.max-attempts,"(387.00, 357.00, 388.00)","(260196.00, 259327.00, 259782.00)","(398.00, 388.00, 380.00)"
yarn.app.mapreduce.client-am.ipc.max-retries,"(362.00, 362.00, 366.00)","(257458.00, 258396.00, 258678.00)","(405.00, 375.00, 394.00)"
yarn.app.mapreduce.am.webapp.port-range,"(390.00, 370.00, 383.00)","(247524.00, 260338.00, 253249.00)","(376.00, 393.00, 376.00)"
yarn.app.mapreduce.am.scheduler.heartbeat.interval-ms,"(358.00, 358.00, 388.00)","(263331.00, 261063.00, 260635.00)","(406.00, 387.00, 372.00)"
yarn.app.mapreduce.am.job.client.port-range,"(369.00, 388.00, 385.00)","(270783.00, 253905.00, 265942.00)","(404.00, 383.00, 389.00)"
mapreduce.shuffle.port,"(388.00, 378.00, 366.00)","(271436.00, 268867.00, 254814.00)","(393.00, 391.00, 387.00)"
mapreduce.shuffle.connection-keep-alive.timeout,"(379.00, 379.00, 385.00)","(251351.00, 254828.00, 263560.00)","(375.00, 378.00, 383.00)"
mapreduce.shuffle.connection-keep-alive.enable,"(381.00, 381.00)","(260828.00, 260787.00)","(388.00, 388.00)"
mapreduce.reduce.shuffle.retry-delay.max.ms,"(363.00, 382.00, 388.00)","(228913.00, 236495.00, 255087.00)","(389.00, 388.00, 388.00)"
mapreduce.map.maxattempts,"(367.00, 358.00, 365.00)","(250270.00, 259440.00, 252507.00)","(396.00, 387.00, 386.00)"
mapreduce.jobhistory.webapp.address,"(367.00, 365.00, 356.00)","(256211.00, 256231.00, 256961.00)","(394.00, 393.00, 388.00)"
mapreduce.jobhistory.http.policy,"(356.00, 386.00, 375.00)","(258019.00, 258762.00, 258951.00)","(399.00, 382.00, 382.00)"
mapreduce.jobhistory.address,"(359.00, 371.00, 389.00)","(259405.00, 258590.00, 258179.00)","(398.00, 383.00, 392.00)"
mapreduce.job.classloader.system.classes,"(372.00, 381.00, 371.00)","(256814.00, 258067.00, 259119.00)","(402.00, 393.00, 377.00)"
yarn.app.mapreduce.am.webapp.https.client.auth,"(370.00, 385.00)","(223559.00, 286419.00)","(372.00, 394.00)"
mapreduce.shuffle.ssl.enabled,"(368.00, 373.00)","(270403.00, 255313.00)","(377.00, 399.00)"
mapreduce.jobhistory.move.interval-ms,"(376.00, 382.00, 388.00)","(257004.00, 258458.00, 257943.00)","(386.00, 389.00, 387.00)"
mapreduce.jobhistory.minicluster.fixed.ports,"(366.00, 380.00)","(264866.00, 254122.00)","(377.00, 379.00)"
mapreduce.jobhistory.client.thread-count,"(389.00, 384.00, 380.00)","(260563.00, 257255.00, 258844.00)","(399.00, 382.00, 380.00)"
mapreduce.job.speculative.retry-after-no-speculate,"(382.00, 383.00, 355.00)","(258987.00, 258958.00, 258198.00)","(406.00, 392.00, 401.00)"
mapreduce.shuffle.pathcache.max-weight,"(386.00, 356.00, 381.00)","(261854.00, 260648.00, 255860.00)","(401.00, 391.00, 400.00)"
mapreduce.shuffle.pathcache.expire-after-access-minutes,"(374.00, 369.00, 357.00)","(260004.00, 257454.00, 258459.00)","(389.00, 388.00, 389.00)"
mapreduce.shuffle.pathcache.concurrency-level,"(377.00, 378.00, 383.00)","(259052.00, 258938.00, 258764.00)","(385.00, 390.00, 386.00)"
mapreduce.shuffle.max.connections,"(366.00, 374.00, 384.00)","(267605.00, 252832.00, 255058.00)","(371.00, 377.00, 394.00)"
mapreduce.shuffle.listen.queue.size,"(383.00, 391.00, 383.00)","(254559.00, 261090.00, 262009.00)","(372.00, 394.00, 389.00)"
mapreduce.reduce.shuffle.merge.percent,"(373.00, 374.00, 373.00)","(257452.00, 258652.00, 259424.00)","(385.00, 391.00, 389.00)"
mapreduce.reduce.shuffle.memory.limit.percent,"(376.00, 376.00, 377.00)","(257238.00, 259442.00, 257535.00)","(390.00, 387.00, 387.00)"
mapreduce.reduce.shuffle.input.buffer.percent,"(380.00, 379.00, 390.00)","(261376.00, 257673.00, 258599.00)","(399.00, 395.00, 389.00)"
yarn.app.mapreduce.am.job.task.listener.thread-count,"(360.00, 388.00, 363.00)","(250268.00, 261763.00, 265645.00)","(394.00, 393.00, 393.00)"
yarn.app.mapreduce.am.job.committer.commit-window,"(358.00, 355.00, 391.00)","(271090.00, 269523.00, 250126.00)","(354.00, 419.00, 372.00)"
yarn.app.mapreduce.am.job.committer.cancel-timeout,"(376.00, 374.00, 373.00)","(257082.00, 259278.00, 258470.00)","(390.00, 389.00, 387.00)"
yarn.app.mapreduce.am.containerlauncher.threadpool-initial-size,"(358.00, 356.00, 357.00)","(253844.00, 259461.00, 256778.00)","(400.00, 385.00, 379.00)"
mapreduce.reduce.shuffle.fetch.retry.interval-ms,"(374.00, 367.00, 374.00)","(256017.00, 260926.00, 258019.00)","(391.00, 387.00, 391.00)"
mapreduce.reduce.shuffle.fetch.retry.enabled,"(372.00, 385.00, 357.00)","(258628.00, 258532.00, 258564.00)","(392.00, 386.00, 388.00)"
mapreduce.task.timeout,"(385.00, 378.00, 373.00)","(308673.00, 258768.00, 302238.00)","(392.00, 385.00, 390.00)"
mapreduce.task.stuck.timeout-ms,"(390.00, 359.00, 390.00)","(235733.00, 263515.00, 245004.00)","(394.00, 391.00, 387.00)"
mapreduce.client.output.filter,"(376.00, 371.00, 379.00)","(258058.00, 258863.00, 258102.00)","(386.00, 387.00, 390.00)"
mapreduce.job.end-notification.retry.interval,"(373.00, 382.00, 371.00)","(257791.00, 258459.00, 258815.00)","(381.00, 394.00, 383.00)"
mapreduce.input.fileinputformat.list-status.num-threads,"(371.00, 377.00, 372.00)","(260593.00, 260070.00, 257772.00)","(387.00, 389.00, 389.00)"
mapreduce.client.completion.pollinterval,"(391.00, 355.00, 377.00)","(255207.00, 260243.00, 261688.00)","(384.00, 388.00, 386.00)"
yarn.app.mapreduce.client.job.retry-interval,"(369.00, 381.00, 369.00)","(268367.00, 264813.00, 260134.00)","(376.00, 393.00, 392.00)"
yarn.app.mapreduce.client.job.max-retries,"(379.00, 368.00, 386.00)","(267307.00, 264776.00, 262601.00)","(399.00, 387.00, 394.00)"
mapreduce.shuffle.max.threads,"(392.00, 384.00, 358.00)","(253270.00, 253905.00, 262481.00)","(379.00, 388.00, 393.00)"
yarn.app.mapreduce.task.container.log.backups,"(391.00, 355.00, 385.00)","(247369.00, 257788.00, 259467.00)","(369.00, 390.00, 407.00)"
yarn.app.mapreduce.shuffle.log.separate,"(363.00, 369.00)","(271377.00, 267853.00)","(400.00, 391.00)"
yarn.app.mapreduce.shuffle.log.limit.kb,"(372.00, 355.00, 388.00)","(255367.00, 257168.00, 255987.00)","(398.00, 388.00, 381.00)"
yarn.app.mapreduce.shuffle.log.backups,"(389.00, 390.00, 386.00)","(263929.00, 263778.00, 255153.00)","(373.00, 399.00, 390.00)"
yarn.app.mapreduce.am.webapp.https.enabled,"(367.00, 389.00)","(264023.00, 262153.00)","(400.00, 376.00)"
yarn.app.mapreduce.am.log.level,"(363.00, 361.00, 383.00)","(259892.00, 258274.00, 258996.00)","(393.00, 392.00, 391.00)"
yarn.app.mapreduce.am.env,"(358.00, 377.00, 370.00)","(255420.00, 255593.00, 260500.00)","(386.00, 389.00, 387.00)"
yarn.app.mapreduce.am.container.log.limit.kb,"(376.00, 377.00, 374.00)","(248323.00, 253843.00, 259096.00)","(379.00, 392.00, 383.00)"
yarn.app.mapreduce.am.container.log.backups,"(390.00, 376.00, 356.00)","(255266.00, 261215.00, 257645.00)","(400.00, 393.00, 388.00)"
yarn.app.mapreduce.am.command-opts,"(385.00, 391.00, 368.00)","(250397.00, 259267.00, 254061.00)","(398.00, 395.00, 381.00)"
yarn.app.mapreduce.am.admin-command-opts,"(374.00, 373.00, 383.00)","(266709.00, 256207.00, 255978.00)","(384.00, 390.00, 390.00)"
yarn.app.mapreduce.am.admin.user.env,"(359.00, 388.00, 383.00)","(263572.00, 257005.00, 255615.00)","(370.00, 386.00, 388.00)"
mapreduce.task.userlog.limit.kb,"(372.00, 379.00, 361.00)","(266700.00, 258582.00, 261036.00)","(375.00, 387.00, 400.00)"
mapreduce.task.profile.reduces,"(375.00, 380.00, 371.00)","(256875.00, 257976.00, 257121.00)","(385.00, 389.00, 388.00)"
mapreduce.task.profile.maps,"(372.00, 359.00, 384.00)","(249370.00, 251605.00, 265650.00)","(407.00, 380.00, 387.00)"
mapreduce.task.profile,"(362.00, 388.00)","(260441.00, 257678.00)","(405.00, 396.00)"
mapreduce.task.merge.progress.records,"(366.00, 361.00, 357.00)","(269054.00, 267693.00, 260661.00)","(338.00, 366.00, 413.00)"
mapreduce.task.files.preserve.failedtasks,"(363.00, 384.00)","(252372.00, 253371.00)","(378.00, 381.00)"
mapreduce.reduce.skip.maxgroups,"(355.00, 360.00, 383.00)","(245749.00, 246232.00, 269087.00)","(383.00, 392.00, 386.00)"
mapreduce.reduce.log.level,"(365.00, 368.00, 372.00)","(247033.00, 253181.00, 260000.00)","(379.00, 397.00, 386.00)"
mapreduce.reduce.cpu.vcores,"(358.00, 358.00, 368.00)","(264825.00, 258102.00, 255675.00)","(379.00, 394.00, 388.00)"
mapreduce.outputcommitter.factory.scheme.s3a,"(364.00, 368.00, 390.00)","(256067.00, 257338.00, 259925.00)","(407.00, 406.00, 394.00)"
mapreduce.outputcommitter.factory.class,"(377.00, 387.00, 375.00)","(269745.00, 250737.00, 263065.00)","(390.00, 390.00, 389.00)"
mapreduce.output.fileoutputformat.compress.type,"(371.00, 390.00, 373.00)","(264245.00, 261041.00, 258159.00)","(400.00, 384.00, 399.00)"
mapreduce.output.fileoutputformat.compress.codec,"(377.00, 366.00, 375.00)","(265148.00, 261127.00, 255274.00)","(381.00, 383.00, 388.00)"
mapreduce.output.fileoutputformat.compress,"(370.00, 381.00)","(251743.00, 260169.00)","(394.00, 384.00)"
mapreduce.map.skip.proc-count.auto-incr,"(373.00, 363.00)","(259024.00, 258345.00)","(360.00, 383.00)"
mapreduce.map.skip.maxrecords,"(359.00, 370.00, 391.00)","(251223.00, 262244.00, 254204.00)","(381.00, 395.00, 394.00)"
mapreduce.map.log.level,"(362.00, 382.00, 372.00)","(254228.00, 255326.00, 255689.00)","(402.00, 379.00, 387.00)"
mapreduce.map.cpu.vcores,"(372.00, 370.00, 366.00)","(266255.00, 265264.00, 260237.00)","(374.00, 394.00, 380.00)"
mapreduce.jvm.system-properties-to-log,"(364.00, 358.00, 386.00)","(259340.00, 258743.00, 258385.00)","(379.00, 388.00, 393.00)"
mapreduce.jobhistory.webapp.xfs-filter.xframe-options,"(361.00, 361.00, 391.00)","(261203.00, 256706.00, 256390.00)","(403.00, 391.00, 384.00)"
mapreduce.jobhistory.webapp.rest-csrf.methods-to-ignore,"(356.00, 358.00, 382.00)","(266002.00, 265625.00, 261553.00)","(401.00, 384.00, 390.00)"
mapreduce.jobhistory.webapp.rest-csrf.enabled,"(370.00, 389.00)","(272696.00, 271119.00)","(405.00, 388.00)"
mapreduce.jobhistory.webapp.rest-csrf.custom-header,"(382.00, 359.00, 360.00)","(250668.00, 252079.00, 258513.00)","(395.00, 390.00, 386.00)"
mapreduce.jobhistory.store.class,"(375.00, 378.00, 378.00)","(268087.00, 266626.00, 263152.00)","(400.00, 386.00, 391.00)"
mapreduce.jobhistory.principal,"(377.00, 388.00, 366.00)","(255541.00, 257358.00, 261220.00)","(377.00, 391.00, 392.00)"
mapreduce.jobhistory.keytab,"(376.00, 390.00, 382.00)","(268084.00, 253223.00, 249639.00)","(407.00, 391.00, 384.00)"
mapreduce.jobhistory.jobname.limit,"(384.00, 371.00, 359.00)","(264804.00, 256284.00, 253210.00)","(382.00, 390.00, 390.00)"
mapreduce.jobhistory.jhist.format,"(369.00, 375.00, 362.00)","(262401.00, 259896.00, 262399.00)","(393.00, 384.00, 386.00)"
mapreduce.jobhistory.intermediate-user-done-dir.permissions,"(384.00, 360.00, 380.00)","(266715.00, 259330.00, 257568.00)","(391.00, 387.00, 385.00)"
mapreduce.jobhistory.intermediate-done-dir,"(378.00, 378.00, 384.00)","(264714.00, 252969.00, 252946.00)","(387.00, 387.00, 389.00)"
mapreduce.jobhistory.cleaner.interval-ms,"(376.00, 371.00, 378.00)","(257904.00, 258934.00, 258243.00)","(385.00, 385.00, 390.00)"
mapreduce.jobhistory.always-scan-user-dir,"(355.00, 373.00)","(266626.00, 251666.00)","(407.00, 401.00)"
mapreduce.jobhistory.admin.address,"(371.00, 384.00, 366.00)","(264310.00, 257422.00, 262737.00)","(401.00, 389.00, 384.00)"
mapreduce.jobhistory.admin.acl,"(374.00, 376.00, 387.00)","(252037.00, 264353.00, 255997.00)","(374.00, 379.00, 386.00)"
mapreduce.job.speculative.speculative-cap-running-tasks,"(385.00, 371.00, 362.00)","(267322.00, 265238.00, 259315.00)","(406.00, 396.00, 375.00)"
mapreduce.job.speculative.slowtaskthreshold,"(379.00, 377.00, 371.00)","(260089.00, 258535.00, 257317.00)","(378.00, 382.00, 397.00)"
mapreduce.job.speculative.minimum-allowed-tasks,"(373.00, 358.00, 383.00)","(257175.00, 257899.00, 257223.00)","(386.00, 387.00, 388.00)"
mapreduce.job.skip.outdir,"(357.00, 373.00, 374.00)","(254202.00, 259715.00, 256931.00)","(383.00, 390.00, 390.00)"
mapreduce.job.reduce.shuffle.consumer.plugin.class,"(384.00, 390.00, 356.00)","(253985.00, 256529.00, 254517.00)","(377.00, 389.00, 387.00)"
mapreduce.job.map.output.collector.class,"(355.00, 359.00, 390.00)","(261300.00, 256506.00, 258929.00)","(394.00, 385.00, 387.00)"
mapreduce.job.local-fs.single-disk-limit.check.kill-limit-exceed,"(361.00, 360.00)","(246561.00, 263654.00)","(387.00, 388.00)"
mapreduce.job.end-notification.custom-notifier-class,"(379.00, 358.00, 378.00)","(263287.00, 260110.00, 257238.00)","(385.00, 387.00, 389.00)"
mapreduce.job.emit-timeline-data,"(388.00, 382.00)","(264417.00, 258119.00)","(385.00, 386.00)"
mapreduce.job.counters.max,"(366.00, 361.00, 381.00)","(268827.00, 262885.00, 262140.00)","(383.00, 392.00, 390.00)"
mapreduce.job.complete.cancel.delegation.tokens,"(382.00, 379.00)","(268787.00, 266551.00)","(372.00, 374.00)"
mapreduce.job.committer.setup.cleanup.needed,"(355.00, 355.00)","(249995.00, 263388.00)","(406.00, 385.00)"
mapreduce.job.acl-view-job,"(374.00, 358.00, 382.00)","(254729.00, 257375.00, 262058.00)","(405.00, 382.00, 393.00)"
mapreduce.job.acl-modify-job,"(392.00, 373.00, 378.00)","(258753.00, 258695.00, 258684.00)","(372.00, 372.00, 383.00)"
mapreduce.input.fileinputformat.split.minsize,"(374.00, 364.00, 374.00)","(253484.00, 259724.00, 256356.00)","(381.00, 389.00, 389.00)"
mapreduce.ifile.readahead.bytes,"(383.00, 384.00, 379.00)","(269913.00, 255224.00, 252480.00)","(373.00, 389.00, 380.00)"
mapreduce.framework.name,"(389.00, 390.00, 390.00)","(264791.00, 259928.00, 255900.00)","(407.00, 394.00, 391.00)"
mapreduce.fileoutputcommitter.task.cleanup.enabled,"(371.00, 392.00)","(257575.00, 259353.00)","(391.00, 388.00)"
mapreduce.cluster.local.dir,"(368.00, 384.00, 355.00)","(258292.00, 258328.00, 258627.00)","(382.00, 386.00, 383.00)"
mapreduce.cluster.acls.enabled,"(392.00, 366.00)","(258655.00, 258596.00)","(373.00, 385.00)"
mapreduce.client.libjars.wildcard,"(371.00, 382.00)","(259191.00, 258526.00)","(373.00, 379.00)"
mapreduce.admin.user.env,"(378.00, 381.00, 380.00)","(262313.00, 255788.00, 257545.00)","(407.00, 394.00, 384.00)"
mapred.child.env,"(377.00, 371.00, 385.00)","(259706.00, 258332.00, 257787.00)","(370.00, 383.00, 398.00)"
mapreduce.shuffle.transfer.buffer.size,"(261.00, 369.00, 377.00)","(265960.00, 256198.00, 258832.00)","(433.00, 376.00, 417.00)"
mapreduce.job.ubertask.maxbytes,"(260.00, 368.00, 361.00)","(260727.00, 258942.00, 260645.00)","(405.00, 383.00, 386.00)"
mapreduce.job.split.metainfo.maxsize,"(366.00, 388.00, 'error')","(216708.00, 293955.00, 227988.00)","(389.00, 389.00, 387.00)"
mapreduce.job.speculative.retry-after-speculate,"(260.00, 370.00, 381.00)","(221791.00, 265533.00, 252011.00)","(335.00, 406.00, 435.00)"
mapreduce.job.max.split.locations,"(262.00, 376.00, 384.00)","(245139.00, 269539.00, 260559.00)","(379.00, 387.00, 390.00)"
mapreduce.task.io.sort.mb,"(259.00, 391.00, 377.00)","(252169.00, 254444.00, 264079.00)","(333.00, 334.00, 419.00)"
mapreduce.map.sort.spill.percent,"(262.00, 392.00, 389.00)","(304155.00, 252378.00, 228988.00)","(316.00, 376.00, 413.00)"
mapreduce.reduce.shuffle.fetch.retry.timeout-ms,"(262.00, 357.00, 372.00)","(271293.00, 265278.00, 249591.00)","(383.00, 385.00, 391.00)"
mapreduce.jobhistory.loadedjob.tasks.max,"(261.00, 379.00, 365.00)","(253527.00, 258611.00, 262688.00)","(407.00, 405.00, 389.00)"
mapreduce.task.io.sort.factor,"(262.00, 362.00, 366.00)","(256247.00, 260185.00, 258307.00)","(312.00, 347.00, 404.00)"
mapreduce.reduce.shuffle.parallelcopies,"(321.00, 367.00, 375.00)","(261700.00, 257118.00, 259684.00)","(392.00, 388.00, 385.00)"
mapreduce.job.reduces,"(261.00, 364.00, 382.00)","(305863.00, 242055.00, 263298.00)","(418.00, 390.00, 374.00)"
mapreduce.job.heap.memory-mb.ratio,"(261.00, 358.00, 384.00)","(278747.00, 269630.00, 249099.00)","(399.00, 393.00, 387.00)"
mapreduce.job.end-notification.retry.attempts,"(322.00, 365.00, 362.00)","(257666.00, 259326.00, 259278.00)","(389.00, 388.00, 389.00)"
mapreduce.job.end-notification.max.attempts,"(262.00, 379.00, 389.00)","(234971.00, 239616.00, 277055.00)","(378.00, 383.00, 379.00)"
yarn.app.mapreduce.am.hard-kill-timeout-ms,"(261.00, 373.00, 360.00)","(261802.00, 260424.00, 259205.00)","(392.00, 388.00, 387.00)"
mapreduce.reduce.memory.mb,"(260.00, 390.00, 380.00)","(277908.00, 240478.00, 239763.00)","(412.00, 371.00, 368.00)"
mapreduce.map.memory.mb,"(260.00, 371.00, 365.00)","(294597.00, 292930.00, 235675.00)","(324.00, 356.00, 391.00)"
mapreduce.job.running.map.limit,"(262.00, 358.00, 391.00)","(277117.00, 245451.00, 263879.00)","(331.00, 389.00, 441.00)"
mapreduce.job.cache.limit.max-resources-mb,"(262.00, 377.00, 377.00)","(292205.00, 260503.00, 290546.00)","(442.00, 407.00, 362.00)"
yarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts,"(260.00, 355.00, 369.00)","(259215.00, 258167.00, 258677.00)","(322.00, 431.00, 413.00)"
