name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
mapreduce.jobhistory.max-age-ms,"(377.00, 387.00)","(257192.00, 259961.00)","(385.00, 390.00)"
mapreduce.jobhistory.loadedjobs.cache.size,"(366.00, 384.00)","(230519.00, 232888.00)","(394.00, 394.00)"
mapreduce.jobhistory.joblist.cache.size,"(390.00, 366.00, 381.00)","(250164.00, 261718.00, 264341.00)","(373.00, 377.00, 388.00)"
mapreduce.job.encrypted-intermediate-data.buffer.kb,"(389.00, 363.00)","(266257.00, 262140.00)","(405.00, 372.00)"
mapreduce.ifile.readahead,"(368.00, 385.00, 369.00)","(255772.00, 258274.00, 259232.00)","(399.00, 384.00, 397.00)"
mapreduce.shuffle.ssl.file.buffer.size,"(389.00, 373.00)","(254843.00, 261929.00)","(373.00, 401.00)"
yarn.app.mapreduce.am.staging-dir.erasurecoding.enabled,"(376.00, 376.00)","(260718.00, 256996.00)","(391.00, 387.00)"
yarn.app.mapreduce.am.staging-dir,"(355.00, 356.00, 378.00)","(263305.00, 258380.00, 256067.00)","(400.00, 377.00, 397.00)"
yarn.app.mapreduce.am.resource.cpu-vcores,"(371.00, 389.00, 389.00)","(260576.00, 259017.00, 259526.00)","(371.00, 405.00, 398.00)"
mapreduce.task.exit.timeout.check-interval-ms,"(370.00, 389.00, 376.00)","(247806.00, 259316.00, 253287.00)","(383.00, 387.00, 387.00)"
mapreduce.reduce.speculative,"(373.00, 358.00, 361.00)","(257182.00, 257492.00, 259777.00)","(392.00, 390.00, 388.00)"
mapreduce.reduce.input.buffer.percent,"(373.00, 370.00, 377.00)","(272696.00, 246587.00, 265801.00)","(394.00, 390.00, 387.00)"
mapreduce.map.output.compress.codec,"(373.00, 377.00, 377.00)","(256365.00, 259351.00, 260382.00)","(386.00, 388.00, 388.00)"
mapreduce.map.output.compress,"(391.00, 382.00, 357.00)","(249362.00, 256863.00, 253529.00)","(353.00, 410.00, 420.00)"
mapreduce.jobhistory.webapp.https.address,"(368.00, 367.00, 362.00)","(266404.00, 256588.00, 252906.00)","(395.00, 392.00, 391.00)"
mapreduce.jobhistory.recovery.store.leveldb.path,"(368.00, 359.00, 374.00)","(260084.00, 258587.00, 257123.00)","(378.00, 380.00, 381.00)"
mapreduce.jobhistory.recovery.store.fs.uri,"(379.00, 385.00, 377.00)","(265515.00, 263787.00, 262092.00)","(380.00, 390.00, 386.00)"
mapreduce.jobhistory.recovery.store.class,"(381.00, 361.00, 384.00)","(254217.00, 259807.00, 257076.00)","(381.00, 389.00, 386.00)"
mapreduce.jobhistory.loadedtasks.cache.size,"(391.00, 379.00, 365.00)","(255629.00, 259558.00, 256019.00)","(318.00, 329.00, 431.00)"
mapreduce.jobhistory.done-dir,"(369.00, 392.00)","(266929.00, 252950.00)","(372.00, 398.00)"
mapreduce.job.ubertask.maxreduces,"(389.00, 360.00, 376.00)","(270332.00, 247142.00, 257305.00)","(381.00, 388.00, 382.00)"
