name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
yarn.nodemanager.container-executor.class,"(372.00, 372.00, 374.00)","(258149.00, 258669.00, 258489.00)","(389.00, 388.00, 388.00)"
yarn.federation.machine-list,"(375.00, 373.00, 372.00)","(248379.00, 253051.00, 258258.00)","(382.00, 382.00, 390.00)"
yarn.nodemanager.aux-services,"(357.00, 378.00, 374.00)","(259074.00, 258596.00, 259073.00)","(377.00, 387.00, 383.00)"
yarn.resourcemanager.ha.rm-ids,"(374.00, 373.00, 374.00)","(269276.00, 267840.00, 264950.00)","(372.00, 396.00, 394.00)"
yarn.resourcemanager.system-metrics-publisher.timeline-server-v1.interval-seconds,"(365.00, 373.00, 366.00)","(247790.00, 264361.00, 267165.00)","(383.00, 391.00, 387.00)"
yarn.nodemanager.recovery.enabled,"(375.00, 374.00)","(240212.00, 268408.00)","(394.00, 386.00)"
yarn.timeline-service.client.drain-entities.timeout.ms,"(360.00, 375.00, 368.00)","(260819.00, 258004.00, 258006.00)","(383.00, 388.00, 386.00)"
yarn.nodemanager.resource.memory-mb,"(375.00, 374.00, 375.00)","(238537.00, 250009.00, 250651.00)","(393.00, 386.00, 385.00)"
yarn.client.nodemanager-connect.max-wait-ms,"(373.00, 373.00, 373.00)","(266401.00, 252158.00, 258232.00)","(373.00, 386.00, 398.00)"
yarn.client.nodemanager-connect.retry-interval-ms,"(364.00, 369.00, 375.00)","(254502.00, 257679.00, 255433.00)","(385.00, 387.00, 387.00)"
yarn.nodemanager.resourcemanager.connect.max-wait.ms,"(260.00, 436.00, 262.00)","(242619.00, 245425.00, 247401.00)","(314.00, 425.00, 339.00)"
yarn.nodemanager.resourcemanager.connect.retry-interval.ms,"(370.00, 371.00, 372.00)","(251636.00, 260668.00, 262678.00)","(405.00, 374.00, 400.00)"
yarn.nodemanager.amrmproxy.enabled,"(363.00, 373.00)","(247020.00, 252587.00)","(383.00, 388.00)"
yarn.client.max-cached-nodemanagers-proxies,"(388.00, 382.00, 366.00)","(250026.00, 252579.00, 262706.00)","(406.00, 388.00, 401.00)"
yarn.resourcemanager.system-metrics-publisher.dispatcher.pool-size,"(361.00, 374.00, 369.00)","(266261.00, 254820.00, 252572.00)","(379.00, 383.00, 381.00)"
yarn.resourcemanager.system-metrics-publisher.timeline-server-v1.batch-size,"(389.00, 363.00, 359.00)","(249284.00, 267108.00, 257660.00)","(383.00, 388.00, 390.00)"
yarn.resourcemanager.delegation-token-renewer.thread-timeout,"(386.00, 378.00, 369.00)","(252217.00, 264887.00, 254034.00)","(394.00, 388.00, 386.00)"
yarn.resourcemanager.node-ip-cache.expiry-interval-secs,"(383.00, 365.00, 370.00)","(259506.00, 257888.00, 258033.00)","(393.00, 385.00, 387.00)"
yarn.resourcemanager.scheduler.class,"(391.00, 369.00, 386.00)","(256632.00, 258630.00, 257313.00)","(385.00, 391.00, 386.00)"
yarn.scheduler.minimum-allocation-mb,"(379.00, 374.00, 376.00)","(249327.00, 257251.00, 253064.00)","(404.00, 385.00, 391.00)"
yarn.resourcemanager.ha.failover-controller.active-standby-elector.zk.retries,"(365.00, 374.00, 371.00)","(253438.00, 262287.00, 256838.00)","(370.00, 397.00, 387.00)"
yarn.nodemanager.container-manager.thread-count,"(355.00, 375.00, 366.00)","(266126.00, 253007.00, 257961.00)","(394.00, 392.00, 394.00)"
yarn.nodemanager.opportunistic-containers-max-queue-length,"(360.00, 366.00, 371.00)","(260627.00, 259852.00, 256589.00)","(386.00, 387.00, 386.00)"
yarn.nodemanager.localizer.cache.target-size-mb,"(368.00, 368.00, 369.00)","(249958.00, 252787.00, 252281.00)","(384.00, 385.00, 390.00)"
yarn.nodemanager.container-localizer.java.opts,"(360.00, 385.00, 364.00)","(252129.00, 258812.00, 256843.00)","(407.00, 404.00, 389.00)"
yarn.nodemanager.container-monitor.resource-calculator.class,"(356.00, 385.00, 366.00)","(249009.00, 267859.00, 267929.00)","(369.00, 381.00, 371.00)"
yarn.nodemanager.disk-health-checker.disk-utilization-watermark-low-per-disk-percentage,"(360.00, 372.00, 365.00)","(263849.00, 253842.00, 258815.00)","(319.00, 425.00, 389.00)"
yarn.nodemanager.runtime.linux.allowed-runtimes,"(385.00, 373.00, 377.00)","(263714.00, 262934.00, 261408.00)","(382.00, 386.00, 387.00)"
yarn.nodemanager.runtime.linux.docker.delayed-removal.allowed,"(378.00, 373.00)","(262393.00, 257147.00)","(383.00, 386.00)"
yarn.nodemanager.runtime.linux.runc.layer-mounts-interval-secs,"(381.00, 377.00, 373.00)","(240924.00, 246438.00, 244205.00)","(402.00, 394.00, 382.00)"
yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin.local-hash-file,"(388.00, 372.00, 388.00)","(268434.00, 256637.00, 253446.00)","(399.00, 381.00, 392.00)"
yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin.num-manifests-to-cache,"(356.00, 385.00, 372.00)","(266813.00, 251998.00, 265986.00)","(374.00, 379.00, 392.00)"
yarn.nodemanager.windows-container.memory-limit.enabled,"(365.00, 381.00)","(251694.00, 253225.00)","(391.00, 387.00)"
yarn.nodemanager.windows-container.cpu-limit.enabled,"(384.00, 381.00)","(248307.00, 249135.00)","(386.00, 390.00)"
yarn.nodemanager.aux-services.manifest.reload-ms,"(390.00, 358.00, 376.00)","(258889.00, 258761.00, 258545.00)","(387.00, 388.00, 388.00)"
yarn.timeline-service.enabled,"(388.00, 364.00)","(249798.00, 255786.00)","(396.00, 394.00)"
yarn.timeline-service.store-class,"(383.00, 375.00, 369.00)","(254945.00, 260471.00, 255695.00)","(376.00, 387.00, 393.00)"
yarn.timeline-service.leveldb-timeline-store.ttl-interval-ms,"(360.00, 382.00, 369.00)","(269404.00, 266567.00, 260128.00)","(393.00, 386.00, 391.00)"
yarn.timeline-service.leveldb-timeline-store.read-cache-size,"(355.00, 380.00, 379.00)","(253341.00, 263452.00, 262315.00)","(382.00, 390.00, 391.00)"
yarn.timeline-service.leveldb-timeline-store.start-time-read-cache-size,"(384.00, 373.00, 365.00)","(262339.00, 257973.00, 255146.00)","(386.00, 387.00, 389.00)"
yarn.timeline-service.leveldb-timeline-store.start-time-write-cache-size,"(371.00, 375.00, 374.00)","(266058.00, 254143.00, 259584.00)","(378.00, 387.00, 386.00)"
yarn.timeline-service.entity-group-fs-store.cache-store-class,"(367.00, 374.00, 377.00)","(270150.00, 261297.00, 255360.00)","(401.00, 385.00, 396.00)"
