name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
yarn.timeline-service.entity-group-fs-store.group-id-plugin-classpath,"(367.00, 374.00, 378.00)","(261753.00, 257964.00, 261176.00)","(375.00, 400.00, 400.00)"
yarn.timeline-service.timeline-client.number-of-async-entities-to-merge,"(360.00, 374.00, 364.00)","(247825.00, 254728.00, 258951.00)","(407.00, 373.00, 397.00)"
yarn.sharedcache.root-dir,"(355.00, 383.00, 371.00)","(264231.00, 259064.00, 256405.00)","(401.00, 388.00, 384.00)"
yarn.sharedcache.store.class,"(364.00, 379.00, 367.00)","(269028.00, 263201.00, 265186.00)","(394.00, 390.00, 394.00)"
yarn.sharedcache.app-checker.class,"(391.00, 374.00, 375.00)","(270845.00, 268034.00, 248297.00)","(384.00, 388.00, 385.00)"
yarn.sharedcache.admin.address,"(368.00, 376.00, 375.00)","(247850.00, 267202.00, 254347.00)","(386.00, 386.00, 389.00)"
yarn.nodemanager.amrmproxy.ha.enable,"(355.00, 363.00)","(258227.00, 258803.00)","(388.00, 388.00)"
yarn.resourcemanager.opportunistic.max.container-allocation.per.am.heartbeat,"(356.00, 363.00, 374.00)","(259609.00, 258238.00, 258585.00)","(406.00, 396.00, 398.00)"
yarn.resourcemanager.nm-container-queuing.sorting-nodes-interval-ms,"(362.00, 363.00, 370.00)","(253734.00, 254435.00, 255979.00)","(389.00, 388.00, 387.00)"
yarn.resourcemanager.nm-container-queuing.min-queue-length,"(376.00, 374.00, 375.00)","(273192.00, 250854.00, 258601.00)","(377.00, 390.00, 386.00)"
yarn.nodemanager.opportunistic-containers-use-pause-for-preemption,"(374.00, 374.00)","(253434.00, 253473.00)","(386.00, 388.00)"
yarn.nodemanager.container.stderr.tail.bytes,"(391.00, 385.00, 358.00)","(249007.00, 253668.00, 252651.00)","(395.00, 388.00, 388.00)"
yarn.resourcemanager.webapp.rest-csrf.enabled,"(388.00, 377.00)","(254117.00, 260380.00)","(391.00, 386.00)"
yarn.webapp.xfs-filter.enabled,"(371.00, 371.00)","(268564.00, 252982.00)","(382.00, 386.00)"
yarn.router.pipeline.cache-max-size,"(367.00, 370.00, 371.00)","(251255.00, 254137.00, 259697.00)","(405.00, 386.00, 397.00)"
yarn.timeline-service.entity-group-fs-store.with-user-dir,"(384.00, 365.00)","(250609.00, 256003.00)","(375.00, 392.00)"
yarn.nodemanager.resource-plugins.gpu.path-to-discovery-executables,"(361.00, 383.00, 366.00)","(268544.00, 251223.00, 250861.00)","(401.00, 391.00, 380.00)"
yarn.nodemanager.resource-plugins,"(379.00, 375.00, 372.00)","(253567.00, 257744.00, 254619.00)","(393.00, 384.00, 391.00)"
yarn.webapp.enable-rest-app-submissions,"(258.00, 268.00)","(220715.00, 285908.00)","(457.00, 426.00)"
yarn.nodemanager.linux-container-executor.cgroups.strict-resource-usage,"(380.00, 370.00)","(258196.00, 258674.00)","(406.00, 400.00)"
yarn.nodemanager.runtime.linux.docker.capabilities,"(370.00, 375.00, 371.00)","(256285.00, 260710.00, 258747.00)","(391.00, 387.00, 387.00)"
yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin.hdfs-hash-file,"(364.00, 375.00, 369.00)","(252327.00, 254973.00, 263052.00)","(401.00, 387.00, 395.00)"
yarn.nodemanager.runtime.linux.runc.hdfs-manifest-to-resources-plugin.stat-cache-timeout-interval-secs,"(367.00, 377.00, 375.00)","(256931.00, 258305.00, 260214.00)","(372.00, 381.00, 376.00)"
yarn.nodemanager.runtime.linux.runc.hdfs-manifest-to-resources-plugin.stat-cache-size,"(382.00, 377.00, 378.00)","(251432.00, 254940.00, 263208.00)","(403.00, 380.00, 390.00)"
yarn.scheduler.configuration.store.class,"(372.00, 373.00, 373.00)","(258048.00, 258911.00, 258788.00)","(387.00, 387.00, 388.00)"
yarn.scheduler.configuration.zk-store.parent-path,"(391.00, 382.00, 384.00)","(270115.00, 250983.00, 248758.00)","(379.00, 394.00, 393.00)"
yarn.nodemanager.resource-plugins.fail-fast,"(372.00, 375.00)","(264661.00, 256931.00)","(392.00, 390.00)"
yarn.resourcemanager.am.global.max-attempts,"(381.00, 374.00, 371.00)","(284546.00, 280436.00, 265313.00)","(391.00, 388.00, 387.00)"
yarn.resourcemanager.webapp.delegation-token-auth-filter.enabled,"(390.00, 362.00)","(258544.00, 258548.00)","(403.00, 388.00)"
yarn.resourcemanager.metrics.runtime.buckets,"(372.00, 375.00, 372.00)","(267029.00, 253188.00, 264257.00)","(381.00, 385.00, 385.00)"
yarn.log-aggregation.file-formats,"(363.00, 379.00, 375.00)","(248004.00, 256546.00, 252152.00)","(372.00, 400.00, 400.00)"
yarn.log-aggregation.enable-local-cleanup,"(367.00, 374.00)","(255505.00, 256120.00)","(406.00, 374.00)"
yarn.nodemanager.runtime.linux.docker.privileged-containers.acl,"(375.00, 373.00, 374.00)","(259256.00, 258132.00, 258990.00)","(385.00, 388.00, 389.00)"
yarn.scheduler.queue-placement-rules,"(372.00, 372.00, 374.00)","(257050.00, 259858.00, 258272.00)","(400.00, 382.00, 384.00)"
yarn.nodemanager.pluggable-device-framework.enabled,"(376.00, 373.00)","(251536.00, 264926.00)","(406.00, 379.00)"
yarn.nodemanager.resource-plugins.gpu.allowed-gpu-devices,"(382.00, 369.00, 374.00)","(266090.00, 251705.00, 258860.00)","(406.00, 396.00, 384.00)"
yarn.nodemanager.numa-awareness.read-topology,"(384.00, 367.00)","(257738.00, 259265.00)","(371.00, 391.00)"
yarn.nodemanager.container-metrics.enable,"(377.00, 374.00)","(256600.00, 258871.00)","(391.00, 388.00)"
yarn.timeline-service.entity-group-fs-store.summary-store,"(369.00, 370.00, 370.00)","(270930.00, 250267.00, 257266.00)","(379.00, 384.00, 383.00)"
yarn.nodemanager.runtime.linux.runc.allowed-container-networks,"(377.00, 375.00, 371.00)","(270857.00, 246840.00, 267118.00)","(394.00, 386.00, 386.00)"
yarn.nodemanager.runtime.linux.runc.allowed-container-runtimes,"(386.00, 367.00, 373.00)","(255434.00, 257561.00, 257797.00)","(406.00, 405.00, 379.00)"
yarn.sharedcache.uploader.server.thread-count,"(370.00, 374.00, 373.00)","(259338.00, 258783.00, 259296.00)","(398.00, 388.00, 393.00)"
yarn.sharedcache.client-server.address,"(378.00, 369.00, 371.00)","(268140.00, 252437.00, 253674.00)","(396.00, 384.00, 392.00)"
yarn.sharedcache.client-server.thread-count,"(378.00, 369.00, 375.00)","(262567.00, 262391.00, 261506.00)","(401.00, 388.00, 378.00)"
yarn.nodemanager.distributed-scheduling.enabled,"(362.00, 371.00)","(263266.00, 260053.00)","(371.00, 383.00)"
yarn.resourcemanager.opportunistic-container-allocation.enabled,"(372.00, 372.00)","(258023.00, 259070.00)","(387.00, 388.00)"
yarn.router.webapp.address,"(373.00, 373.00, 373.00)","(265388.00, 260190.00, 260141.00)","(376.00, 399.00, 388.00)"
yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin.cache-refresh-interval-secs,"(356.00, 385.00, 361.00)","(248404.00, 251676.00, 256270.00)","(342.00, 377.00, 359.00)"
yarn.timeline-service.entity-group-fs-store.app-cache-size,"(386.00, 375.00, 363.00)","(254127.00, 261672.00, 262067.00)","(372.00, 394.00, 392.00)"
yarn.timeline-service.client.fd-flush-interval-secs,"(364.00, 370.00, 382.00)","(262230.00, 255552.00, 257673.00)","(383.00, 393.00, 383.00)"
yarn.timeline-service.client.fd-clean-interval-secs,"(380.00, 375.00, 377.00)","(269147.00, 266028.00, 263417.00)","(398.00, 379.00, 382.00)"
yarn.timeline-service.client.fd-retain-secs,"(366.00, 371.00, 369.00)","(250538.00, 264668.00, 255588.00)","(404.00, 400.00, 374.00)"
yarn.timeline-service.writer.async.queue.capacity,"(377.00, 372.00, 374.00)","(245902.00, 268651.00, 268839.00)","(400.00, 399.00, 395.00)"
yarn.federation.cache-ttl.secs,"(357.00, 363.00, 364.00)","(269582.00, 267773.00, 258194.00)","(387.00, 388.00, 389.00)"
yarn.resourcemanager.nm-container-queuing.min-queue-wait-time-ms,"(355.00, 377.00, 373.00)","(268742.00, 250463.00, 266330.00)","(382.00, 387.00, 394.00)"
yarn.resourcemanager.application-timeouts.monitor.interval-ms,"(390.00, 375.00, 380.00)","(246462.00, 262319.00, 260573.00)","(375.00, 378.00, 389.00)"
yarn.resourcemanager.submission-preprocessor.enabled,"(356.00, 378.00)","(246471.00, 270218.00)","(395.00, 387.00)"
yarn.sharedcache.enabled,"(373.00, 373.00)","(259391.00, 258114.00)","(391.00, 389.00)"
yarn.sharedcache.cleaner.resource-sleep-ms,"(370.00, 371.00, 371.00)","(260255.00, 258890.00, 258517.00)","(390.00, 388.00, 388.00)"
yarn.nodemanager.disk-health-checker.enable,"(370.00, 372.00)","(258727.00, 258711.00)","(391.00, 385.00)"
yarn.dispatcher.print-events-info.threshold,"(260.00, 472.00, 404.00)","(228771.00, 281594.00, 238303.00)","(343.00, 352.00, 350.00)"
yarn.nodemanager.runtime.linux.sandbox-mode.policy,"(365.00, 377.00, 373.00)","(253416.00, 254560.00, 260789.00)","(391.00, 387.00, 389.00)"
yarn.resourcemanager.hostname,"(367.00, 368.00, 376.00)","(249250.00, 254006.00, 254956.00)","(384.00, 391.00, 388.00)"
yarn.resourcemanager.state-store.max-completed-applications,"(376.00, 374.00, 375.00)","(259272.00, 258922.00, 257941.00)","(389.00, 388.00, 388.00)"
yarn.resourcemanager.history-writer.multi-threaded-dispatcher.pool-size,"(387.00, 362.00, 380.00)","(249927.00, 263130.00, 261444.00)","(353.00, 391.00, 362.00)"
yarn.nodemanager.env-whitelist,"(373.00, 373.00, 373.00)","(257811.00, 257988.00, 258766.00)","(387.00, 388.00, 388.00)"
yarn.nodemanager.container-state-transition-listener.classes,"(370.00, 374.00, 374.00)","(259909.00, 258179.00, 259597.00)","(387.00, 389.00, 389.00)"
yarn.log-aggregation-status.time-out.ms,"(361.00, 368.00, 367.00)","(258494.00, 258586.00, 258621.00)","(388.00, 388.00, 388.00)"
yarn.nodemanager.runtime.linux.sandbox-mode.whitelist-group,"(388.00, 383.00, 364.00)","(257534.00, 258862.00, 257768.00)","(387.00, 388.00, 388.00)"
yarn.timeline-service.ui-names,"(369.00, 375.00, 373.00)","(262451.00, 261964.00, 259587.00)","(371.00, 373.00, 401.00)"
yarn.nodemanager.amrmproxy.interceptor-class.pipeline,"(358.00, 381.00, 376.00)","(269314.00, 250291.00, 249858.00)","(375.00, 379.00, 398.00)"
yarn.webapp.filter-entity-list-by-user,"(368.00, 374.00)","(251158.00, 258042.00)","(392.00, 386.00)"
yarn.webapp.filter-invalid-xml-chars,"(365.00, 378.00)","(249529.00, 256866.00)","(385.00, 387.00)"
yarn.node-labels.exclusive-enforced-partitions,"(372.00, 372.00, 373.00)","(247506.00, 249485.00, 262182.00)","(398.00, 388.00, 395.00)"
yarn.resourcemanager.scheduler.monitor.policies,"(377.00, 377.00, 375.00)","(247918.00, 252445.00, 266313.00)","(398.00, 392.00, 392.00)"
yarn.nodemanager.process-kill-wait.ms,"(386.00, 371.00, 369.00)","(249572.00, 261050.00, 259347.00)","(388.00, 388.00, 388.00)"
yarn.timeline-service.leveldb-timeline-store.path,"(366.00, 378.00, 376.00)","(258046.00, 258647.00, 258800.00)","(387.00, 387.00, 389.00)"
yarn.timeline-service.entity-group-fs-store.active-dir,"(358.00, 385.00, 385.00)","(259359.00, 259026.00, 258400.00)","(374.00, 388.00, 375.00)"
yarn.timeline-service.entity-group-fs-store.group-id-plugin-classes,"(391.00, 368.00, 366.00)","(247554.00, 267877.00, 254199.00)","(399.00, 383.00, 385.00)"
yarn.router.clientrm.interceptor-class.pipeline,"(379.00, 377.00, 368.00)","(261075.00, 257535.00, 260038.00)","(392.00, 388.00, 391.00)"
yarn.router.rmadmin.interceptor-class.pipeline,"(391.00, 391.00, 358.00)","(271335.00, 246650.00, 268778.00)","(386.00, 387.00, 387.00)"
yarn.router.webapp.interceptor-class.pipeline,"(363.00, 378.00, 368.00)","(263576.00, 261689.00, 256227.00)","(399.00, 396.00, 397.00)"
yarn.nodemanager.pluggable-device-framework.device-classes,"(363.00, 370.00, 371.00)","(253753.00, 256350.00, 257513.00)","(385.00, 387.00, 385.00)"
yarn.nodemanager.runtime.linux.docker.default-tmpfs-mounts,"(383.00, 376.00, 382.00)","(260790.00, 258830.00, 259902.00)","(395.00, 383.00, 394.00)"
yarn.application.classpath,"(383.00, 367.00, 370.00)","(264527.00, 255495.00, 260975.00)","(383.00, 388.00, 389.00)"
yarn.scheduler.configuration.store.max-logs,"(372.00, 373.00, 372.00)","(256900.00, 258567.00, 257193.00)","(388.00, 388.00, 388.00)"
yarn.scheduler.configuration.max.version,"(366.00, 379.00, 368.00)","(264840.00, 256898.00, 256560.00)","(394.00, 383.00, 388.00)"
yarn.client.load.resource-types.from-server,"(387.00, 380.00)","(250775.00, 258194.00)","(378.00, 386.00)"
yarn.resourcemanager.ha.enabled,"(375.00, 372.00)","(266591.00, 264189.00)","(401.00, 399.00)"
yarn.nodemanager.container-monitor.procfs-tree.smaps-based-rss.enabled,"(370.00, 372.00)","(245995.00, 257499.00)","(375.00, 395.00)"
yarn.nodemanager.pmem-check-enabled,"(373.00, 373.00)","(260072.00, 258240.00)","(385.00, 387.00)"
yarn.nodemanager.vmem-check-enabled,"(356.00, 363.00)","(264508.00, 258024.00)","(394.00, 386.00)"
yarn.nodemanager.recovery.dir,"(357.00, 390.00, 384.00)","(258759.00, 258728.00, 258699.00)","(390.00, 387.00, 387.00)"
yarn.ipc.client.factory.class,"(363.00, 377.00, 380.00)","(268241.00, 255154.00, 259639.00)","(372.00, 382.00, 394.00)"
yarn.ipc.server.factory.class,"(389.00, 381.00, 383.00)","(266653.00, 257549.00, 252026.00)","(377.00, 393.00, 383.00)"
yarn.ipc.record.factory.class,"(368.00, 378.00, 377.00)","(266576.00, 263254.00, 263526.00)","(385.00, 391.00, 386.00)"
yarn.resourcemanager.bind-host,"(367.00, 373.00, 376.00)","(253821.00, 256738.00, 258676.00)","(380.00, 393.00, 382.00)"
yarn.resourcemanager.scheduler.address,"(362.00, 384.00, 363.00)","(269273.00, 267871.00, 263909.00)","(386.00, 389.00, 388.00)"
yarn.http.policy,"(381.00, 372.00, 372.00)","(250709.00, 254780.00, 263092.00)","(397.00, 382.00, 390.00)"
yarn.resourcemanager.webapp.https.address,"(368.00, 368.00, 375.00)","(250167.00, 259785.00, 254893.00)","(374.00, 378.00, 388.00)"
yarn.webapp.api-service.enable,"(363.00, 378.00)","(257044.00, 258135.00)","(380.00, 386.00)"
yarn.web-proxy.principal,"(385.00, 372.00, 373.00)","(248730.00, 259879.00, 260685.00)","(377.00, 384.00, 395.00)"
yarn.web-proxy.address,"(376.00, 372.00, 371.00)","(265229.00, 255105.00, 264265.00)","(379.00, 382.00, 388.00)"
yarn.web-proxy.bind-host,"(384.00, 364.00, 381.00)","(255719.00, 256384.00, 257479.00)","(401.00, 394.00, 395.00)"
yarn.resourcemanager.proxy.timeout.enabled,"(367.00, 370.00)","(251560.00, 257912.00)","(395.00, 387.00)"
yarn.timeline-service.hostname,"(378.00, 373.00, 370.00)","(255158.00, 257777.00, 256802.00)","(403.00, 402.00, 379.00)"
yarn.timeline-service.address,"(379.00, 373.00, 370.00)","(271074.00, 264481.00, 248094.00)","(379.00, 390.00, 395.00)"
yarn.timeline-service.webapp.address,"(361.00, 378.00, 380.00)","(259833.00, 258951.00, 258079.00)","(397.00, 388.00, 383.00)"
yarn.timeline-service.webapp.https.address,"(383.00, 370.00, 368.00)","(252517.00, 261418.00, 255927.00)","(380.00, 384.00, 380.00)"
yarn.timeline-service.bind-host,"(389.00, 362.00, 358.00)","(255793.00, 258863.00, 256250.00)","(390.00, 388.00, 387.00)"
yarn.timeline-service.principal,"(360.00, 374.00, 377.00)","(265253.00, 256241.00, 260622.00)","(382.00, 394.00, 382.00)"
yarn.timeline-service.keytab,"(360.00, 378.00, 370.00)","(264349.00, 261058.00, 256273.00)","(407.00, 405.00, 402.00)"
yarn.timeline-service.client.max-retries,"(380.00, 375.00, 371.00)","(266978.00, 264319.00, 263057.00)","(379.00, 386.00, 387.00)"
yarn.sharedcache.webapp.address,"(375.00, 372.00, 374.00)","(260360.00, 260154.00, 259127.00)","(386.00, 387.00, 388.00)"
yarn.sharedcache.uploader.server.address,"(364.00, 374.00, 378.00)","(256231.00, 256520.00, 259880.00)","(393.00, 393.00, 384.00)"
yarn.nodemanager.amrmproxy.address,"(386.00, 369.00, 373.00)","(259260.00, 259155.00, 257983.00)","(374.00, 387.00, 381.00)"
yarn.timeline-service.http-cross-origin.enabled,"(360.00, 371.00)","(245764.00, 251934.00)","(404.00, 402.00)"
yarn.router.bind-host,"(368.00, 374.00, 374.00)","(249690.00, 251512.00, 254325.00)","(376.00, 389.00, 378.00)"
yarn.router.webapp.https.address,"(356.00, 379.00, 373.00)","(260992.00, 260890.00, 258752.00)","(394.00, 385.00, 383.00)"
yarn.web-proxy.keytab,"(377.00, 371.00, 370.00)","(264958.00, 263301.00, 264046.00)","(405.00, 401.00, 382.00)"
yarn.resourcemanager.application-https.policy,"(376.00, 373.00, 374.00)","(253301.00, 255813.00, 262981.00)","(389.00, 388.00, 387.00)"
yarn.resourcemanager.recovery.enabled,"(374.00, 373.00)","(262116.00, 257124.00)","(370.00, 380.00)"
yarn.nodemanager.runtime.linux.docker.allowed-container-networks,"(391.00, 371.00, 388.00)","(262105.00, 261144.00, 259197.00)","(397.00, 387.00, 393.00)"
yarn.nodemanager.amrmproxy.client.thread-count,"(387.00, 381.00, 367.00)","(255193.00, 260740.00, 260773.00)","(400.00, 392.00, 399.00)"
yarn.nodemanager.runtime.linux.docker.stop.grace-period,"(362.00, 363.00, 363.00)","(251586.00, 265371.00, 252986.00)","(369.00, 388.00, 377.00)"
yarn.dispatcher.drain-events.timeout,"(355.00, 386.00, 387.00)","(295771.00, 275764.00, 269161.00)","(394.00, 384.00, 387.00)"
yarn.am.liveness-monitor.expiry-interval-ms,"(370.00, 376.00, 374.00)","(265368.00, 254789.00, 264948.00)","(379.00, 393.00, 381.00)"
yarn.resourcemanager.placement-constraints.algorithm.pool-size,"(376.00, 375.00, 371.00)","(259662.00, 259353.00, 258384.00)","(385.00, 388.00, 389.00)"
yarn.resourcemanager.placement-constraints.scheduler.pool-size,"(383.00, 370.00, 369.00)","(264827.00, 264414.00, 255382.00)","(405.00, 379.00, 374.00)"
yarn.resourcemanager.fs.state-store.retry-interval-ms,"(357.00, 358.00, 360.00)","(264706.00, 261262.00, 257468.00)","(384.00, 386.00, 389.00)"
yarn.resourcemanager.delegation-token.always-cancel,"(388.00, 375.00)","(251715.00, 255172.00)","(407.00, 395.00)"
yarn.resourcemanager.proxy-user-privileges.enabled,"(373.00, 373.00)","(258886.00, 258516.00)","(399.00, 394.00)"
yarn.resourcemanager.delegation-token-renewer.thread-count,"(372.00, 375.00, 372.00)","(259993.00, 258516.00, 257190.00)","(376.00, 384.00, 377.00)"
yarn.nodemanager.delete.thread-count,"(366.00, 379.00, 370.00)","(259974.00, 259206.00, 259557.00)","(365.00, 375.00, 410.00)"
yarn.nodemanager.localizer.fetch.thread-count,"(388.00, 364.00, 361.00)","(246930.00, 263814.00, 267108.00)","(390.00, 389.00, 387.00)"
yarn.log-aggregation.retain-check-interval-seconds,"(390.00, 362.00, 368.00)","(265962.00, 257640.00, 257236.00)","(392.00, 390.00, 387.00)"
yarn.nodemanager.resource-monitor.interval-ms,"(261.00, 364.00, 392.00)","(251453.00, 260487.00, 262446.00)","(347.00, 409.00, 415.00)"
yarn.nodemanager.container-log-monitor.interval-ms,"(362.00, 369.00, 366.00)","(269864.00, 258151.00, 258329.00)","(391.00, 390.00, 386.00)"
yarn.nodemanager.linux-container-executor.resources-handler.class,"(386.00, 371.00, 378.00)","(249342.00, 249547.00, 251672.00)","(400.00, 385.00, 385.00)"
yarn.timeline-service.ttl-enable,"(360.00, 372.00)","(266566.00, 257197.00)","(393.00, 384.00)"
yarn.timeline-service.entity-group-fs-store.scan-interval-seconds,"(382.00, 371.00, 380.00)","(267693.00, 259729.00, 251957.00)","(387.00, 388.00, 389.00)"
yarn.timeline-service.entity-group-fs-store.cleaner-interval-seconds,"(367.00, 372.00, 374.00)","(252289.00, 259834.00, 257585.00)","(384.00, 385.00, 387.00)"
yarn.timeline-service.writer.flush-interval-seconds,"(382.00, 373.00, 370.00)","(250301.00, 259486.00, 260122.00)","(372.00, 388.00, 383.00)"
yarn.router.interceptor.user.threadpool-size,"(369.00, 371.00, 369.00)","(247309.00, 261319.00, 253331.00)","(378.00, 390.00, 386.00)"
yarn.resourcemanager.submission-preprocessor.file-refresh-interval-ms,"(383.00, 380.00, 378.00)","(263446.00, 261113.00, 257923.00)","(379.00, 385.00, 385.00)"
yarn.nodemanager.container-monitor.interval-ms,"(389.00, 380.00, 369.00)","(261408.00, 257253.00, 258906.00)","(377.00, 397.00, 398.00)"
yarn.nodemanager.linux-container-executor.cgroups.delete-delay-ms,"(361.00, 381.00, 374.00)","(255930.00, 258858.00, 257590.00)","(380.00, 395.00, 391.00)"
yarn.sharedcache.cleaner.initial-delay-mins,"(378.00, 370.00, 374.00)","(256293.00, 259655.00, 259200.00)","(403.00, 384.00, 387.00)"
