name,YCSB-100000-100000-workloadb,YCSB-1000-1000-workloada,YCSB-10000-10000-workloadc
hbase.tmp.dir,"(29516.34, 32201.68, 32480.71)","(1762.30, 1790.15, 1785.28)","(1831.51, 1878.95, 1848.12)"
hbase.rootdir,"(29704.66, 30605.20, 30708.95)","(1761.12, 1772.08, 1763.36)","(1823.01, 1837.81, 1887.46)"
hbase.cluster.distributed,"(0.00, 54978.74)","(1729.88, 1781.69)","(1950.80, 1826.52)"
hbase.zookeeper.quorum,"(0.00, 3533.77, 33004.22)","(1716.61, 1736.49, 1757.98)","(31289.11, -3850.18, 19693.44)"
zookeeper.recovery.retry.maxsleeptime,"(31121.16, 30972.52, 31044.50)","(1742.56, 1784.12, 1796.76)","(1878.66, 1873.03, 1876.52)"
hbase.local.dir,"(30385.45, 31186.49, 30656.45)","(1742.95, 1789.02, 1757.61)","(1959.54, 1814.20, 1834.26)"
hbase.master.port,"(31890.08, 31591.76, 31842.83)","(1719.23, 1784.46, 1730.15)","(1842.99, 1861.19, 1885.28)"
hbase.master.info.port,"(30770.25, 30823.37, 30816.49)","(1787.79, 1779.55, 1768.34)","(1886.52, 1860.58, 1867.88)"
hbase.master.info.bindAddress,"(30935.85, 31004.03, 31007.13)","(1786.41, 1773.48, 1772.91)","(1789.82, 1891.94, 1877.50)"
hbase.master.logcleaner.plugins,"(30249.76, 30285.29, 30731.05)","(1808.38, 1795.93, 1757.31)","(1894.31, 1850.59, 1865.76)"
hbase.master.logcleaner.ttl,"(0.00, 7192.37, 43534.75)","(1690.03, 1803.27, 1777.95)","(42087.54, -21700.43, -37526.48)"
hbase.master.hfilecleaner.plugins,"(32427.33, 31740.06, 31135.71)","(1739.35, 1752.19, 1800.55)","(1805.68, 1819.44, 1848.65)"
hbase.master.infoserver.redirect,"(33178.50, 29589.31)","(1794.15, 1777.86)","(32393.91, 7419.72)"
hbase.master.fileSplitTimeout,"(30841.22, 30849.01, 30844.35)","(1779.47, 1778.87, 1778.89)","(1871.61, 1867.25, 1870.37)"
hbase.regionserver.port,"(31106.20, 31003.18, 31080.50)","(1727.59, 1735.85, 1743.97)","(1936.19, 1852.79, 1867.63)"
hbase.regionserver.info.port,"(31709.53, 31588.50, 31676.47)","(1846.90, 1752.66, 1831.82)","(1796.37, 1851.11, 1916.03)"
hbase.regionserver.info.bindAddress,"(30375.29, 30827.56, 30601.68)","(1865.36, 1853.23, 1836.62)","(1859.95, 1870.52, 1865.60)"
