name,Apache bench-10000-100,Apache bench-10000-1000,jmeter2
AcceptFilter,"(4807.47, 4815.36, 5141.61)","(4083.19, 3912.93, 4003.98)","(4229.62, 4144.19, 3997.66)"
AcceptPathInfo,"(4806.90, 5034.38, 4814.30, 5001.22, 4853.74, 5175.60)","(4081.62, 4010.34, 4027.24, 3974.44, 3963.24, 3922.46)","(4237.67, 4151.66, 4063.03, 4031.05, 4214.81, 4148.33)"
AccessFileName,"(4823.13, 5166.24, 4974.10)","(4185.17, 4143.19, 4056.66)","(4260.81, 4165.21, 4118.50)"
AddDefaultCharset,"(4954.25, 5070.15, 5095.31, 5093.73, 5010.99, 5034.10)","(4161.72, 3866.94, 4088.33, 4003.17, 4018.56, 4108.57)","(3906.36, 4189.60, 3962.39, 3908.51, 4284.80, 3983.48)"
AllowEncodedSlashes,"(5161.32, 5113.18, 4985.17, 4906.13, 5014.69, 5139.66)","(4194.29, 4120.96, 4183.11, 4031.76, 4097.33, 4092.88)","(4159.18, 4154.45, 4137.75, 4149.45, 4137.58, 4132.45)"
AllowOverride,"(5152.08, 5022.29, 4965.35, 5053.18, 5105.72, 5109.92)","(3861.72, 4033.40, 4034.25, 4043.42, 4062.87, 3916.77)","(4259.89, 4253.87, 4009.11, 3958.79, 4106.08, 3993.99)"
AllowOverrideList,"(4955.93, 5097.20, 5022.85)","(3866.95, 3960.57, 3894.28)","(3962.63, 4186.73, 4025.35)"
CGIMapExtension,"(4857.65, 5069.08, 4968.21)","(3908.21, 4057.70, 4023.81)","(4024.57, 4032.43, 4039.95)"
CGIPassAuth,"(4832.36, 4929.45)","(3853.67, 4062.91)","(4052.48, 4140.04)"
CGIVar,"(4977.63, 5028.26, 5022.15)","(3947.73, 3991.26, 4040.67)","(4307.29, 4078.28, 3904.56)"
ContentDigest,"(4362.96, 4841.24)","(4063.53, 3931.75)","(3601.40, 3921.86)"
DefaultRuntimeDir,"(4788.63, 4874.45, 5051.29)","(3936.07, 3990.88, 3978.14)","(4187.11, 4076.79, 4054.47)"
DefaultType,"(5211.69, 5058.80, 4924.69)","(4117.25, 4048.00, 4096.74)","(3944.80, 4102.86, 4090.91)"
Define,"(4964.67, 4977.45, 5073.28)","(4178.88, 3823.81, 3820.55)","(4219.82, 4055.37, 4010.13)"
DocumentRoot,"(5083.24, 5011.07, 5038.58)","(4105.99, 4029.81, 4049.72)","(4050.81, 4068.31, 4085.81)"
EnableMMAP,"(5237.53, 4922.67)","(3874.20, 4019.36)","(4074.49, 4099.56)"
EnableSendfile,"(6680.62, 5094.88)","(4182.85, 3827.91)","(4709.60, 3585.05)"
Error,"(5054.83, 5040.80, 5043.54)","(3973.64, 3981.36, 3984.31)","(4298.87, 4046.53, 4114.25)"
ErrorDocument,"(5078.23, 5007.22, 5005.02)","(3867.13, 3957.70, 4099.34)","(4265.77, 4193.29, 3965.92)"
ErrorLog,"(4889.17, 5050.16, 4949.21)","(3965.83, 4016.10, 3995.16)","(4192.21, 4155.31, 4098.03)"
ErrorLogFormat,"(4969.34, 5082.63, 5075.34)","(3940.73, 3995.83, 3979.55)","(4035.63, 4098.88, 4128.76)"
ExtendedStatus,"(4904.79, 4953.20)","(4095.95, 3976.42)","(4250.36, 4045.70)"
