name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
dfs.image.compress,"(262.00, 283.00)","(308462.00, 248197.00)","(400.00, 379.00)"
dfs.client.cache.readahead,"(262.00, 335.00, 291.00)","(236205.00, 244644.00, 272714.00)","(426.00, 354.00, 366.00)"
dfs.namenode.retrycache.expirytime.millis,"(261.00, 268.00, 449.00)","(250803.00, 255482.00, 259686.00)","(402.00, 394.00, 398.00)"
dfs.namenode.list.encryption.zones.num.responses,"(261.00, 440.00, 450.00)","(252915.00, 256929.00, 262827.00)","(383.00, 393.00, 384.00)"
dfs.namenode.fs-limits.max-xattr-size,"(385.00, 387.00, 'error')","(255517.00, 255929.00, 257809.00)","(401.00, 383.00, 'nan')"
dfs.client-write-packet-size,"(262.00, 466.00, 343.00)","(284932.00, 251440.00, 264857.00)","(409.00, 397.00, 383.00)"
dfs.datanode.drop.cache.behind.reads,"(261.00, 435.00)","(262241.00, 260971.00)","(369.00, 'nan')"
dfs.datanode.drop.cache.behind.writes,"(262.00, 379.00)","(248421.00, 262336.00)","(377.00, 388.00)"
dfs.client.cache.drop.behind.writes,"(260.00, 406.00)","(232223.00, 249900.00)","(457.00, 363.00)"
dfs.namenode.startup.delay.block.deletion.sec,"(260.00, 439.00, 341.00)","(250622.00, 260970.00, 259771.00)","(393.00, 380.00, 'nan')"
dfs.image.transfer.bandwidthPerSec,"(383.00, 382.00, 'nan')","(183169.00, 261384.00, 264520.00)","(384.00, 390.00, 391.00)"
dfs.image.transfer.chunksize,"(262.00, 364.00, 469.00)","(208693.00, 261142.00, 244174.00)","(336.00, 346.00, 394.00)"
dfs.datanode.cache.revocation.timeout.ms,"(261.00, 335.00, 415.00)","(183169.00, 327989.00, 265140.00)","(368.00, 388.00, 378.00)"
dfs.namenode.top.window.num.buckets,"(323.00, 330.00, 393.00)","(208692.00, 306929.00, 221184.00)","(332.00, 397.00, 370.00)"
dfs.namenode.fs-limits.max-component-length,"(368.00, 374.00, 'error')","(247205.00, 255342.00, 263604.00)","(404.00, 375.00, 'nan')"
dfs.namenode.acls.enabled,"(262.00, 388.00)","(259103.00, 258694.00)","(374.00, 389.00)"
dfs.block.access.token.enable,"(261.00, 335.00)","(271505.00, 261970.00)","(396.00, 381.00)"
dfs.namenode.plugins,"(359.00, 370.00, 'error')","(258450.00, 258596.00, 258625.00)","(383.00, 392.00, 384.00)"
dfs.ha.automatic-failover.enabled,"(261.00, 432.00)","(247041.00, 250778.00)","(402.00, 382.00)"
dfs.namenode.max.objects,"(320.00, 415.00, 335.00)","(317650.00, 309228.00, 262951.00)","(422.00, 408.00, 421.00)"
dfs.namenode.blocks.per.postponedblocks.rescan,"(262.00, 446.00, 439.00)","(256056.00, 259471.00, 260249.00)","(386.00, 389.00, 387.00)"
dfs.namenode.fs-limits.min-block-size,"(388.00, 360.00, 'error')","(268299.00, 262459.00, 259098.00)","(387.00, 388.00, 'nan')"
dfs.encrypt.data.transfer,"(380.00, 'error')","(268941.00, 264392.00)","(385.00, 'nan')"
dfs.client.slow.io.warning.threshold.ms,"(260.00, 273.00, 367.00)","(183170.00, 322854.00, 286353.00)","(312.00, 365.00, 331.00)"
hadoop.user.group.metrics.percentiles.intervals,"(385.00, 383.00, 'error')","(208692.00, 287041.00, 269379.00)","(325.00, 363.00, 447.00)"
dfs.datanode.plugins,"(386.00, 389.00, 'error')","(321159.00, 220798.00, 252504.00)","(346.00, 365.00, 353.00)"
dfs.namenode.resource.checked.volumes.minimum,"(379.00, 360.00, 'error')","(247751.00, 253473.00, 262924.00)","(376.00, 399.00, 400.00)"
dfs.datanode.max.locked.memory,"(261.00, 439.00, 394.00)","(256988.00, 259043.00, 259239.00)","(402.00, 388.00, 'nan')"
dfs.http.policy,"(357.00, 375.00, 'error')","(259919.00, 259356.00, 257361.00)","(378.00, 391.00, 382.00)"
dfs.stream-buffer-size,"(262.00, 381.00, 414.00)","(280949.00, 252547.00, 269157.00)","(391.00, 386.00, 389.00)"
dfs.heartbeat.interval,"(261.00, 299.00, 302.00)","(258104.00, 258742.00, 258608.00)","(406.00, 393.00, 371.00)"
dfs.namenode.decommission.interval,"(262.00, 385.00, 399.00)","(296593.00, 224176.00, 265518.00)","(405.00, 398.00, 395.00)"
dfs.namenode.delegation.key.update-interval,"(262.00, 484.00, 465.00)","(248785.00, 251878.00, 258480.00)","(385.00, 390.00, 388.00)"
dfs.namenode.delegation.token.renew-interval,"(262.00, 347.00, 460.00)","(251271.00, 260822.00, 265372.00)","(385.00, 407.00, 'nan')"
dfs.client.context,"(322.00, 332.00, 326.00)","(248333.00, 254054.00, 253747.00)","(396.00, 392.00, 393.00)"
dfs.datanode.fsdatasetcache.max.threads.per.volume,"(322.00, 389.00, 372.00)","(247224.00, 252354.00, 247946.00)","(399.00, 369.00, 'nan')"
dfs.image.compression.codec,"(261.00, 448.00, 439.00)","(317652.00, 211334.00, 278242.00)","(393.00, 385.00, 389.00)"
dfs.image.transfer.timeout,"(262.00, 446.00, 269.00)","(333985.00, 301642.00, 250351.00)","(338.00, 359.00, 419.00)"
dfs.client.block.write.replace-datanode-on-failure.enable,"(261.00, 289.00)","(251058.00, 255454.00)","(393.00, 387.00)"
dfs.client.block.write.replace-datanode-on-failure.policy,"(262.00, 269.00, 434.00)","(248944.00, 253219.00, 261383.00)","(376.00, 399.00, 379.00)"
dfs.namenode.resource.checked.volumes,"(364.00, 390.00, 'error')","(208692.00, 238833.00, 255097.00)","(334.00, 350.00, 427.00)"
dfs.client.failover.connection.retries,"(261.00, 469.00, 358.00)","(266892.00, 262131.00, 251882.00)","(399.00, 369.00, 'nan')"
dfs.client.failover.connection.retries.on.timeouts,"(262.00, 418.00, 263.00)","(213970.00, 248144.00, 295808.00)","(325.00, 331.00, 352.00)"
dfs.namenode.write.stale.datanode.ratio,"(385.00, 382.00, 'error')","(298261.00, 256118.00, 296938.00)","(402.00, 384.00, 392.00)"
nfs.rtmax,"(261.00, 354.00, 427.00)","(229710.00, 251266.00, 252701.00)","(371.00, 390.00, 389.00)"
nfs.wtmax,"(261.00, 333.00, 265.00)","(251534.00, 262361.00, 260615.00)","(378.00, 402.00, 'nan')"
dfs.webhdfs.enabled,"(261.00, 420.00)","(259461.00, 258965.00)","(400.00, 'nan')"
dfs.client.mmap.enabled,"(263.00, 460.00)","(266976.00, 252421.00)","(398.00, 'nan')"
dfs.client.mmap.cache.timeout.ms,"(262.00, 379.00, 317.00)","(260444.00, 259296.00, 260058.00)","(388.00, 374.00, 'nan')"
dfs.block.access.key.update.interval,"(356.00, 375.00, 379.00)","(250011.00, 263651.00, 265654.00)","(375.00, 383.00, 401.00)"
dfs.namenode.handler.count,"(372.00, 374.00, 372.00)","(256681.00, 258785.00, 259323.00)","(385.00, 389.00, 388.00)"
dfs.namenode.checkpoint.dir,"(372.00, 373.00, 372.00)","(263407.00, 255590.00, 262986.00)","(373.00, 394.00, 374.00)"
dfs.namenode.checkpoint.edits.dir,"(375.00, 374.00, 374.00)","(256181.00, 260864.00, 258121.00)","(387.00, 388.00, 388.00)"
dfs.datanode.max.transfer.threads,"(372.00, 373.00, 373.00)","(270173.00, 263743.00, 261509.00)","(399.00, 384.00, 387.00)"
dfs.datanode.readahead.bytes,"(373.00, 373.00, 373.00)","(263387.00, 255401.00, 259417.00)","(402.00, 387.00, 395.00)"
dfs.client.use.datanode.hostname,"(365.00, 374.00)","(269134.00, 260101.00)","(371.00, 375.00)"
dfs.short.circuit.shared.memory.watcher.interrupt.check.ms,"(371.00, 373.00, 373.00)","(256001.00, 257619.00, 259304.00)","(388.00, 388.00, 388.00)"
dfs.namenode.invalidate.work.pct.per.iteration,"(391.00, 367.00, 384.00)","(246944.00, 251535.00, 256340.00)","(386.00, 387.00, 390.00)"
dfs.namenode.replication.work.multiplier.per.iteration,"(373.00, 373.00, 373.00)","(248662.00, 253719.00, 261602.00)","(387.00, 389.00, 389.00)"
dfs.encrypt.data.transfer.cipher.key.bitlength,"(374.00, 373.00, 374.00)","(256070.00, 257784.00, 258858.00)","(384.00, 385.00, 390.00)"
dfs.trustedchannel.resolver.class,"(362.00, 363.00, 378.00)","(253992.00, 262405.00, 256233.00)","(380.00, 388.00, 381.00)"
dfs.datanode.available-space-volume-choosing-policy.balanced-space-threshold,"(364.00, 373.00, 374.00)","(246225.00, 249245.00, 248229.00)","(403.00, 377.00, 393.00)"
