name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
dfs.datanode.available-space-volume-choosing-policy.balanced-space-preference-fraction,"(365.00, 370.00, 376.00)","(253391.00, 263510.00, 254015.00)","(370.00, 380.00, 374.00)"
dfs.namenode.enable.retrycache,"(374.00, 373.00)","(271370.00, 263576.00)","(388.00, 388.00)"
dfs.namenode.retrycache.heap.percent,"(373.00, 374.00, 374.00)","(257084.00, 259421.00, 257378.00)","(386.00, 390.00, 387.00)"
dfs.namenode.path.based.cache.block.map.allocation.percent,"(382.00, 371.00, 380.00)","(254748.00, 257763.00, 256785.00)","(388.00, 388.00, 388.00)"
dfs.namenode.list.cache.directives.num.responses,"(374.00, 374.00, 374.00)","(264019.00, 254692.00, 255370.00)","(401.00, 379.00, 385.00)"
dfs.namenode.list.cache.pools.num.responses,"(390.00, 369.00, 378.00)","(258679.00, 258489.00, 258555.00)","(392.00, 385.00, 389.00)"
dfs.namenode.path.based.cache.retry.interval.ms,"(371.00, 373.00, 373.00)","(250030.00, 254076.00, 252018.00)","(395.00, 394.00, 391.00)"
dfs.cachereport.intervalMsec,"(370.00, 373.00, 376.00)","(260754.00, 256994.00, 258409.00)","(389.00, 388.00, 388.00)"
dfs.namenode.inotify.max.events.per.rpc,"(355.00, 390.00, 372.00)","(266789.00, 258800.00, 265011.00)","(379.00, 393.00, 383.00)"
dfs.permissions.enabled,"(355.00, 372.00)","(266404.00, 258136.00)","(369.00, 375.00)"
dfs.encrypt.data.transfer.algorithm,"(384.00, 378.00, 381.00)","(261600.00, 256591.00, 255867.00)","(384.00, 384.00, 391.00)"
dfs.client.cache.drop.behind.reads,"(370.00, 376.00)","(256471.00, 256660.00)","(388.00, 388.00)"
dfs.namenode.stale.datanode.interval,"(383.00, 380.00, 372.00)","(249923.00, 257846.00, 258638.00)","(407.00, 386.00, 400.00)"
dfs.namenode.top.enabled,"(383.00, 365.00)","(265269.00, 257846.00)","(384.00, 'nan')"
dfs.namenode.top.num.users,"(371.00, 374.00, 375.00)","(267282.00, 258985.00, 263434.00)","(399.00, 383.00, 392.00)"
dfs.client.cached.conn.retry,"(371.00, 374.00, 373.00)","(260783.00, 257201.00, 260256.00)","(385.00, 387.00, 388.00)"
dfs.namenode.fs-limits.max-directory-items,"(383.00, 383.00, 372.00)","(267230.00, 258446.00, 255201.00)","(371.00, 391.00, 376.00)"
dfs.namenode.shared.edits.dir,"(389.00, 375.00, 374.00)","(264959.00, 258297.00, 264777.00)","(401.00, 389.00, 385.00)"
dfs.datanode.data.dir.perm,"(374.00, 373.00, 373.00)","(258810.00, 258753.00, 258770.00)","(390.00, 389.00, 389.00)"
dfs.namenode.datanode.registration.ip-hostname-check,"(356.00, 376.00)","(269894.00, 250493.00)","(391.00, 390.00)"
dfs.namenode.accesstime.precision,"(389.00, 385.00, 384.00)","(253004.00, 262967.00, 254260.00)","(398.00, 396.00, 387.00)"
dfs.namenode.checkpoint.max-retries,"(379.00, 372.00, 374.00)","(269637.00, 266341.00, 257801.00)","(388.00, 388.00, 388.00)"
dfs.namenode.num.extra.edits.retained,"(355.00, 388.00, 357.00)","(255222.00, 260931.00, 260026.00)","(398.00, 396.00, 390.00)"
dfs.namenode.support.allow.format,"(386.00, 363.00)","(255495.00, 260566.00)","(382.00, 394.00)"
dfs.datanode.scan.period.hours,"(357.00, 358.00, 387.00)","(260955.00, 256889.00, 259651.00)","(400.00, 380.00, 396.00)"
dfs.block.scanner.volume.bytes.per.second,"(356.00, 357.00, 369.00)","(252222.00, 254051.00, 254539.00)","(388.00, 388.00, 388.00)"
dfs.encrypt.data.transfer.cipher.suites,"(382.00, 371.00, 380.00)","(268670.00, 265830.00, 258361.00)","(388.00, 388.00, 388.00)"
dfs.data.transfer.protection,"(359.00, 382.00, 373.00)","(317651.00, 239641.00, 235844.00)","(405.00, 373.00, 402.00)"
dfs.namenode.reject-unresolved-dn-topology-mapping,"(368.00, 371.00)","(262263.00, 254997.00)","(376.00, 380.00)"
dfs.namenode.xattrs.enabled,"(359.00, 373.00)","(249037.00, 266883.00)","(382.00, 389.00)"
dfs.namenode.fs-limits.max-xattrs-per-inode,"(377.00, 376.00, 371.00)","(252837.00, 255813.00, 260388.00)","(374.00, 402.00, 384.00)"
dfs.datanode.cache.revocation.polling.ms,"(385.00, 367.00, 364.00)","(262906.00, 256173.00, 259143.00)","(391.00, 387.00, 391.00)"
dfs.bytes-per-checksum,"(389.00, 364.00, 366.00)","(258008.00, 258577.00, 258165.00)","(377.00, 377.00, 385.00)"
dfs.datanode.data.dir,"(381.00, 370.00, 378.00)","(269650.00, 250967.00, 263264.00)","(398.00, 387.00, 384.00)"
dfs.namenode.fs-limits.max-blocks-per-file,"(373.00, 373.00, 373.00)","(270404.00, 260445.00, 249351.00)","(383.00, 392.00, 387.00)"
dfs.namenode.servicerpc-address,"(372.00, 374.00, 373.00)","(257574.00, 259364.00, 258383.00)","(390.00, 389.00, 388.00)"
dfs.namenode.lazypersist.file.scrub.interval.sec,"(360.00, 369.00, 373.00)","(261793.00, 257432.00, 261685.00)","(392.00, 390.00, 388.00)"
dfs.hosts.exclude,"(377.00, 371.00, 371.00)","(259310.00, 258469.00, 258184.00)","(386.00, 389.00, 386.00)"
dfs.datanode.sync.behind.writes,"(367.00, 371.00)","(265239.00, 254695.00)","(389.00, 'nan')"
dfs.datanode.use.datanode.hostname,"(387.00, 363.00)","(260187.00, 259194.00)","(406.00, 377.00)"
dfs.datanode.shared.file.descriptor.paths,"(379.00, 370.00, 370.00)","(259208.00, 258992.00, 259178.00)","(390.00, 388.00, 388.00)"
dfs.namenode.avoid.read.stale.datanode,"(363.00, 381.00)","(248366.00, 250390.00)","(381.00, 386.00)"
dfs.namenode.avoid.write.stale.datanode,"(380.00, 369.00)","(260085.00, 258245.00)","(400.00, 398.00)"
hadoop.fuse.timer.period,"(387.00, 385.00, 383.00)","(254605.00, 261710.00, 257011.00)","(407.00, 401.00, 384.00)"
dfs.metrics.percentiles.intervals,"(380.00, 379.00, 373.00)","(317651.00, 204936.00, 231270.00)","(375.00, 386.00, 388.00)"
dfs.client.read.shortcircuit,"(367.00, 376.00)","(253868.00, 255535.00)","(372.00, 379.00)"
dfs.client.read.shortcircuit.skip.checksum,"(376.00, 372.00)","(259629.00, 258265.00)","(388.00, 388.00)"
dfs.client.read.shortcircuit.streams.cache.size,"(375.00, 372.00, 373.00)","(258934.00, 258375.00, 258402.00)","(387.00, 388.00, 388.00)"
dfs.client.read.shortcircuit.streams.cache.expiry.ms,"(383.00, 364.00, 377.00)","(264280.00, 262433.00, 264170.00)","(402.00, 390.00, 396.00)"
dfs.storage.policy.enabled,"(382.00, 377.00)","(266994.00, 261646.00)","(381.00, 393.00)"
dfs.datanode.slow.io.warning.threshold.ms,"(391.00, 371.00, 365.00)","(245834.00, 253968.00, 249700.00)","(397.00, 380.00, 395.00)"
dfs.namenode.edits.dir,"(375.00, 372.00, 375.00)","(247223.00, 248740.00, 261609.00)","(378.00, 386.00, 382.00)"
dfs.namenode.num.checkpoints.retained,"(389.00, 387.00, 380.00)","(250783.00, 262389.00, 262034.00)","(402.00, 387.00, 397.00)"
dfs.namenode.max.extra.edits.segments.retained,"(380.00, 369.00, 373.00)","(258619.00, 258557.00, 258618.00)","(375.00, 399.00, 388.00)"
dfs.block.local-path-access.user,"(364.00, 371.00, 367.00)","(251459.00, 260477.00, 258121.00)","(406.00, 391.00, 373.00)"
dfs.namenode.top.windows.minutes,"(386.00, 366.00, 364.00)","(265305.00, 259518.00, 264778.00)","(370.00, 392.00, 393.00)"
dfs.namenode.decommission.max.concurrent.tracked.nodes,"(381.00, 377.00, 371.00)","(268705.00, 259329.00, 252276.00)","(377.00, 390.00, 382.00)"
dfs.nameservices,"(361.00, 372.00, 379.00)","(265381.00, 256306.00, 255148.00)","(381.00, 393.00, 387.00)"
dfs.internal.nameservices,"(384.00, 381.00, 372.00)","(257507.00, 257852.00, 257975.00)","(394.00, 383.00, 393.00)"
dfs.ha.log-roll.period,"(377.00, 372.00, 373.00)","(261490.00, 258552.00, 258745.00)","(370.00, 385.00, 383.00)"
dfs.namenode.audit.loggers,"(382.00, 375.00, 374.00)","(255714.00, 257303.00, 259106.00)","(385.00, 388.00, 390.00)"
dfs.namenode.name.dir.restore,"(373.00, 373.00)","(257705.00, 258761.00)","(389.00, 388.00)"
dfs.replication.max,"(377.00, 373.00, 370.00)","(249427.00, 253990.00, 250820.00)","(384.00, 389.00, 390.00)"
dfs.user.home.dir.prefix,"(383.00, 371.00, 378.00)","(259637.00, 259355.00, 257889.00)","(394.00, 392.00, 391.00)"
dfs.namenode.legacy-oiv-image.dir,"(374.00, 374.00, 373.00)","(256417.00, 256888.00, 257117.00)","(390.00, 388.00, 387.00)"
dfs.replication,"(388.00, 385.00, 374.00)","(253825.00, 262726.00, 263254.00)","(395.00, 385.00, 392.00)"
dfs.namenode.rpc-address,"(361.00, 369.00, 369.00)","(267031.00, 265671.00, 253786.00)","(375.00, 376.00, 380.00)"
dfs.namenode.rpc-bind-host,"(369.00, 371.00, 371.00)","(247966.00, 254735.00, 251165.00)","(382.00, 387.00, 384.00)"
dfs.namenode.servicerpc-bind-host,"(366.00, 375.00, 374.00)","(262736.00, 257945.00, 256014.00)","(381.00, 390.00, 393.00)"
dfs.namenode.secondary.http-address,"(366.00, 371.00, 377.00)","(265500.00, 257889.00, 261090.00)","(399.00, 397.00, 380.00)"
dfs.namenode.secondary.https-address,"(361.00, 383.00, 369.00)","(251304.00, 252807.00, 260240.00)","(388.00, 388.00, 388.00)"
dfs.datanode.address,"(356.00, 387.00, 361.00)","(262953.00, 257765.00, 258526.00)","(381.00, 382.00, 393.00)"
dfs.datanode.http.address,"(357.00, 378.00, 381.00)","(266979.00, 263589.00, 264625.00)","(374.00, 391.00, 376.00)"
dfs.datanode.ipc.address,"(362.00, 367.00, 379.00)","(257729.00, 258205.00, 258409.00)","(371.00, 381.00, 403.00)"
dfs.datanode.handler.count,"(386.00, 378.00, 379.00)","(265396.00, 261164.00, 256748.00)","(386.00, 387.00, 389.00)"
dfs.namenode.http-address,"(376.00, 376.00, 372.00)","(261561.00, 256894.00, 260026.00)","(384.00, 389.00, 386.00)"
dfs.namenode.http-bind-host,"(387.00, 367.00, 368.00)","(261615.00, 258687.00, 257804.00)","(380.00, 390.00, 394.00)"
dfs.client.https.need-auth,"(374.00, 374.00)","(260956.00, 258520.00)","(389.00, 388.00)"
dfs.datanode.https.address,"(372.00, 374.00, 372.00)","(270637.00, 250448.00, 252526.00)","(390.00, 386.00, 388.00)"
dfs.namenode.https-address,"(388.00, 368.00, 374.00)","(267884.00, 262486.00, 254540.00)","(385.00, 386.00, 385.00)"
dfs.datanode.dns.interface,"(387.00, 378.00, 370.00)","(273490.00, 260768.00, 262312.00)","(387.00, 388.00, 388.00)"
dfs.datanode.dns.nameserver,"(382.00, 373.00, 372.00)","(268396.00, 252389.00, 258226.00)","(378.00, 391.00, 391.00)"
dfs.namenode.backup.address,"(375.00, 373.00, 374.00)","(254300.00, 258522.00, 257204.00)","(371.00, 377.00, 395.00)"
dfs.namenode.kerberos.internal.spnego.principal,"(392.00, 358.00, 382.00)","(261056.00, 257469.00, 258483.00)","(377.00, 389.00, 382.00)"
dfs.secondary.namenode.kerberos.internal.spnego.principal,"(387.00, 365.00, 376.00)","(266679.00, 255296.00, 253371.00)","(374.00, 394.00, 394.00)"
dfs.journalnode.rpc-address,"(370.00, 375.00, 374.00)","(249257.00, 266025.00, 262041.00)","(402.00, 380.00, 389.00)"
dfs.journalnode.http-address,"(374.00, 373.00, 374.00)","(260831.00, 260512.00, 259838.00)","(386.00, 390.00, 387.00)"
dfs.journalnode.https-address,"(371.00, 375.00, 375.00)","(258732.00, 258597.00, 258686.00)","(391.00, 389.00, 389.00)"
dfs.namenode.https-bind-host,"(370.00, 372.00, 375.00)","(250369.00, 266384.00, 254604.00)","(373.00, 401.00, 376.00)"
dfs.namenode.backup.http-address,"(383.00, 383.00, 376.00)","(256943.00, 257315.00, 258940.00)","(395.00, 390.00, 394.00)"
dfs.namenode.checkpoint.txns,"(364.00, 370.00, 382.00)","(266671.00, 257727.00, 257002.00)","(375.00, 395.00, 390.00)"
dfs.datanode.directoryscan.interval,"(371.00, 375.00, 375.00)","(258318.00, 258458.00, 258446.00)","(384.00, 388.00, 391.00)"
dfs.datanode.directoryscan.threads,"(389.00, 383.00, 383.00)","(255609.00, 256898.00, 257369.00)","(400.00, 395.00, 397.00)"
dfs.namenode.resource.check.interval,"(375.00, 372.00, 372.00)","(260902.00, 260533.00, 256580.00)","(391.00, 389.00, 390.00)"
dfs.namenode.delegation.token.max-lifetime,"(362.00, 365.00, 374.00)","(263087.00, 262824.00, 254615.00)","(394.00, 388.00, 385.00)"
dfs.client.datanode-restart.timeout,"(359.00, 366.00, 378.00)","(263608.00, 254101.00, 259147.00)","(386.00, 387.00, 386.00)"
dfs.namenode.edits.noeditlogchannelflush,"(374.00, 373.00)","(247690.00, 251318.00)","(397.00, 396.00)"
dfs.namenode.edit.log.autoroll.check.interval.ms,"(361.00, 374.00, 366.00)","(262773.00, 261804.00, 257690.00)","(404.00, 372.00, 404.00)"
dfs.namenode.decommission.blocks.per.interval,"(369.00, 371.00, 376.00)","(267769.00, 261509.00, 262183.00)","(386.00, 389.00, 388.00)"
dfs.namenode.checkpoint.check.period,"(374.00, 373.00, 372.00)","(257214.00, 257560.00, 259487.00)","(387.00, 388.00, 388.00)"
dfs.datanode.failed.volumes.tolerated,"(372.00, 373.00, 375.00)","(314040.00, 238697.00, 234099.00)","(371.00, 393.00, 374.00)"
dfs.ha.tail-edits.period,"(378.00, 372.00, 372.00)","(250235.00, 256463.00, 259602.00)","(382.00, 391.00, 393.00)"
dfs.namenode.path.based.cache.refresh.interval.ms,"(368.00, 376.00, 372.00)","(261254.00, 256143.00, 260902.00)","(400.00, 400.00, 377.00)"
dfs.blockreport.intervalMsec,"(377.00, 370.00, 376.00)","(258335.00, 258575.00, 258399.00)","(391.00, 389.00, 390.00)"
dfs.blockreport.initialDelay,"(375.00, 373.00, 373.00)","(256195.00, 256809.00, 260621.00)","(388.00, 388.00, 388.00)"
dfs.blockreport.split.threshold,"(358.00, 374.00, 364.00)","(248037.00, 264428.00, 263314.00)","(397.00, 392.00, 392.00)"
dfs.datanode.block.id.layout.upgrade.threads,"(362.00, 379.00, 377.00)","(252009.00, 252311.00, 263441.00)","(388.00, 388.00, 388.00)"
hadoop.hdfs.configuration.version,"(355.00, 373.00, 381.00)","(265737.00, 259779.00, 263835.00)","(369.00, 396.00, 369.00)"
dfs.namenode.heartbeat.recheck-interval,"(355.00, 381.00, 389.00)","(251349.00, 256578.00, 254111.00)","(402.00, 399.00, 375.00)"
dfs.https.server.keystore.resource,"(378.00, 370.00, 372.00)","(255636.00, 257348.00, 259878.00)","(393.00, 383.00, 385.00)"
dfs.client.https.keystore.resource,"(358.00, 365.00, 364.00)","(256209.00, 260237.00, 256542.00)","(405.00, 374.00, 397.00)"
dfs.namenode.replication.considerLoad,"(358.00, 383.00)","(255953.00, 256536.00)","(396.00, 388.00)"
dfs.default.chunk.view.size,"(375.00, 373.00, 374.00)","(256972.00, 259400.00, 257842.00)","(387.00, 387.00, 388.00)"
dfs.datanode.du.reserved,"(377.00, 376.00, 375.00)","(262632.00, 260506.00, 262004.00)","(390.00, 389.00, 389.00)"
dfs.namenode.name.dir,"(387.00, 374.00, 374.00)","(257905.00, 259169.00, 258330.00)","(393.00, 384.00, 388.00)"
dfs.namenode.edits.journal-plugin.qjournal,"(376.00, 375.00, 371.00)","(256603.00, 259876.00, 260548.00)","(403.00, 398.00, 377.00)"
dfs.permissions.superusergroup,"(359.00, 370.00, 378.00)","(250445.00, 257644.00, 257947.00)","(383.00, 388.00, 383.00)"
dfs.block.access.token.lifetime,"(381.00, 373.00, 369.00)","(256397.00, 258283.00, 259099.00)","(395.00, 389.00, 393.00)"
dfs.namenode.replication.min,"(389.00, 372.00, 360.00)","(267148.00, 261027.00, 260144.00)","(371.00, 403.00, 'nan')"
dfs.blocksize,"(389.00, 359.00, 363.00)","(252722.00, 255530.00, 255313.00)","(370.00, 382.00, 385.00)"
dfs.client.block.write.retries,"(382.00, 373.00, 375.00)","(248668.00, 253127.00, 260005.00)","(405.00, 375.00, 398.00)"
dfs.client.block.write.replace-datanode-on-failure.best-effort,"(370.00, 375.00)","(259541.00, 258515.00)","(382.00, 394.00)"
dfs.namenode.safemode.threshold-pct,"(355.00, 368.00, 372.00)","(267407.00, 257208.00, 259874.00)","(388.00, 388.00, 388.00)"
dfs.namenode.safemode.min.datanodes,"(382.00, 367.00, 380.00)","(271462.00, 265530.00, 260749.00)","(374.00, 387.00, 383.00)"
dfs.namenode.safemode.extension,"(368.00, 377.00, 377.00)","(267893.00, 261334.00, 257123.00)","(380.00, 381.00, 392.00)"
dfs.namenode.resource.du.reserved,"(355.00, 358.00, 365.00)","(255576.00, 259810.00, 258746.00)","(371.00, 378.00, 374.00)"
dfs.datanode.balance.bandwidthPerSec,"(370.00, 374.00, 372.00)","(256014.00, 258184.00, 260080.00)","(388.00, 388.00, 388.00)"
dfs.hosts,"(381.00, 378.00, 377.00)","(260883.00, 258952.00, 259268.00)","(376.00, 392.00, 387.00)"
dfs.namenode.replication.interval,"(375.00, 374.00, 372.00)","(256541.00, 257410.00, 256652.00)","(390.00, 386.00, 389.00)"
dfs.client.write.exclude.nodes.cache.expiry.interval.millis,"(375.00, 374.00, 374.00)","(260649.00, 260458.00, 258504.00)","(385.00, 390.00, 386.00)"
dfs.namenode.checkpoint.period,"(364.00, 380.00, 374.00)","(263939.00, 253556.00, 259742.00)","(370.00, 395.00, 'nan')"
dfs.client.failover.max.attempts,"(389.00, 361.00, 384.00)","(256927.00, 258216.00, 257183.00)","(376.00, 383.00, 388.00)"
dfs.client.failover.sleep.base.millis,"(377.00, 371.00, 373.00)","(258291.00, 258515.00, 258669.00)","(395.00, 386.00, 390.00)"
dfs.client.failover.sleep.max.millis,"(383.00, 372.00, 371.00)","(267345.00, 261534.00, 255537.00)","(381.00, 385.00, 383.00)"
dfs.nameservice.id,"(371.00, 375.00, 376.00)","(250330.00, 265268.00, 263940.00)","(374.00, 402.00, 384.00)"
dfs.ha.namenodes.EXAMPLENAMESERVICE,"(377.00, 374.00, 376.00)","(261926.00, 258860.00, 256584.00)","(393.00, 387.00, 389.00)"
dfs.ha.namenode.id,"(366.00, 370.00, 378.00)","(249533.00, 265044.00, 258752.00)","(404.00, 380.00, 397.00)"
dfs.client.local.interfaces,"(381.00, 380.00, 371.00)","(254614.00, 254638.00, 257794.00)","(405.00, 379.00, 371.00)"
dfs.namenode.kerberos.principal.pattern,"(368.00, 368.00, 379.00)","(248349.00, 252488.00, 257554.00)","(373.00, 395.00, 379.00)"
nfs.server.port,"(384.00, 374.00, 378.00)","(252999.00, 261422.00, 258524.00)","(393.00, 384.00, 383.00)"
nfs.mountd.port,"(376.00, 372.00, 376.00)","(246205.00, 262134.00, 253958.00)","(387.00, 389.00, 389.00)"
nfs.dump.dir,"(362.00, 378.00, 378.00)","(262900.00, 260044.00, 260663.00)","(400.00, 381.00, 400.00)"
nfs.keytab.file,"(392.00, 362.00, 373.00)","(265367.00, 257052.00, 254379.00)","(395.00, 391.00, 394.00)"
