name,redisbenchmark-get-10000-50,redisbenchmark-set-10000-50,redisbenchmark-get-100000-100
rdbchecksum,"(193714.86, 196906.19)","(203037.89, 186841.06)","(211542.84, 216489.76)"
daemonize,"(212765.97, 196694.34)","(199663.10, 190991.81)","(209945.46, 214670.51)"
io-threads-do-reads,"(197352.81, 196001.90)","(185024.58, 188905.80)","(239354.40, 212078.39)"
always-show-logo,"(201419.54, 198623.30)","(184530.49, 200565.98)","(254664.54, 178189.49)"
protected-mode,"(196651.74, 196580.24)","(194914.54, 194420.42)","(220895.19, 217804.35)"
rdb-del-sync-files,"(195117.64, 196018.63)","(194987.37, 193127.24)","(217832.86, 213549.23)"
activerehashing,"(214742.27, 179235.34)","(191044.73, 194473.24)","(222878.99, 208910.66)"
stop-writes-on-bgsave-error,"(197751.11, 197553.97)","(192208.43, 194227.20)","(215063.82, 214092.79)"
set-proc-title,"(198833.03, 196470.04)","(225449.13, 164259.29)","(212504.28, 214849.68)"
dynamic-hz,"(198588.68, 196637.16)","(197498.01, 191870.18)","(205444.89, 222538.11)"
lazyfree-lazy-eviction,"(195348.42, 197335.22)","(197481.47, 194987.63)","(211710.54, 212021.91)"
lazyfree-lazy-user-del,"(197087.07, 196262.91)","(207890.93, 194428.90)","(213890.38, 214572.29)"
lazyfree-lazy-user-flush,"(198851.86, 195661.64)","(196605.22, 192688.03)","(244154.05, 187395.65)"
repl-disable-tcp-nodelay,"(196088.08, 196594.24)","(193067.95, 193712.36)","(215728.52, 213340.13)"
repl-diskless-sync,"(216365.28, 195516.23)","(200120.51, 196415.59)","(210476.25, 214687.12)"
aof-rewrite-incremental-fsync,"(194532.71, 198182.05)","(195353.01, 191973.03)","(210188.34, 214170.84)"
no-appendfsync-on-rewrite,"(188036.93, 204243.36)","(195209.82, 194173.34)","(208553.13, 213034.71)"
cluster-require-full-coverage,"(227485.20, 204082.08)","(192556.08, 193256.26)","(217074.37, 212680.68)"
rdb-save-incremental-fsync,"(195370.79, 196054.86)","(185194.65, 198122.26)","(221166.04, 218946.75)"
aof-load-truncated,"(199851.76, 195447.68)","(190667.63, 192682.69)","(213439.85, 214833.24)"
aof-use-rdb-preamble,"(195504.11, 196818.32)","(191536.02, 193975.75)","(213118.09, 215130.98)"
cluster-replica-no-failover,"(199563.57, 193891.29)","(212765.97, 175057.21)","(220538.44, 215675.34)"
replica-serve-stale-data,"(198004.88, 197870.55)","(197576.72, 189853.46)","(222285.01, 211676.63)"
replica-read-only,"(181818.19, 190376.40)","(193199.91, 193498.98)","(254521.63, 199053.79)"
replica-ignore-maxmemory,"(197523.12, 196323.60)","(212765.97, 206200.65)","(205795.86, 209476.03)"
jemalloc-bg-thread,"(208333.33, 194039.76)","(192531.21, 193955.48)","(217771.62, 213891.23)"
