name,redisbenchmark-get-10000-50,redisbenchmark-set-10000-50,redisbenchmark-get-100000-100
syslog-enabled,"(228713.88, 228019.40)","(229581.63, 226343.32)","(247821.38, 209440.67)"
cluster-enabled,"(195652.13, 196225.68)","(195038.86, 193040.55)","(214782.34, 214546.71)"
appendonly,"(195589.52, 197109.10)","(195676.12, 192658.76)","(213147.03, 213894.98)"
cluster-allow-reads-when-down,"(198172.82, 196193.82)","(193981.54, 193402.97)","(214661.33, 214075.95)"
crash-log-enabled,"(206204.02, 201183.74)","(190170.95, 190367.60)","(219127.38, 219013.98)"
crash-memcheck-enabled,"(235083.87, 163672.23)","(204081.64, 197988.20)","(249895.08, 188301.77)"
disable-thp,"(196125.54, 196500.35)","(192867.65, 192979.21)","(213305.92, 213580.39)"
cluster-allow-replica-migration,"(212765.97, 209195.29)","(198285.29, 194797.92)","(244224.56, 233060.89)"
replica-announced,"(187505.04, 201272.18)","(195800.02, 193479.58)","(212438.06, 215533.93)"
aclfile,"(190600.99, 196723.06, 193266.18)","(199161.05, 195735.21, 196345.57)","(210540.29, 215877.72, 214696.43)"
unixsocket,"(197478.87, 197419.87, 195764.09)","(192256.36, 193695.23, 192514.84)","(215620.95, 214798.56, 213939.88)"
pidfile,"(191998.42, 199872.19, 199572.79)","(198203.28, 195912.92, 194402.52)","(213292.79, 214374.60, 213723.28)"
replica-announce-ip,"(198485.81, 195011.97, 195012.33)","(193438.03, 193414.48, 193392.79)","(212728.30, 213220.44, 213201.32)"
masteruser,"(192636.36, 193305.71, 200278.08)","(187007.21, 197994.58, 199486.71)","(211676.68, 216706.36, 212448.14)"
cluster-announce-ip,"(197503.19, 196537.80, 197094.80)","(192085.59, 192851.32, 193170.98)","(214288.11, 214326.70, 214302.23)"
syslog-ident,"(197944.93, 195887.21, 195750.99)","(187698.29, 194896.25, 189121.95)","(216408.73, 214143.03, 212841.01)"
dbfilename,"(186975.59, 205364.15, 195907.09)","(201058.22, 187452.14, 185966.29)","(222742.81, 221830.29, 222358.52)"
appendfilename,"(202942.27, 201381.66, 201180.41)","(195615.60, 192520.10, 191450.77)","(224015.00, 207797.50, 206442.81)"
bio_cpulist,"(189681.27, 194853.49, 194873.98)","(197749.51, 196626.83, 190449.95)","(207229.39, 218623.71, 214872.45)"
aof_rewrite_cpulist,"(190707.24, 199781.44, 200374.19)","(184622.89, 187644.94, 189507.11)","(213065.68, 215503.63, 214398.63)"
bgsave_cpulist,"(205964.44, 198844.24, 188613.84)","(185449.30, 195559.48, 199106.46)","(214731.40, 214258.91, 214689.58)"
ignore-warnings,"(190536.87, 199904.58, 199765.04)","(186654.09, 196001.38, 188174.76)","(216129.75, 212979.88, 212599.72)"
masterauth,"(199642.60, 195450.92, 196611.77)","(194569.47, 193434.85, 194411.56)","(209437.70, 209664.01, 215056.02)"
requirepass,"(189359.91, 190251.27, 197753.37)","(193906.60, 193850.98, 193713.73)","(222703.38, 210525.22, 212508.71)"
supervised,"(199917.33, 194845.15, 195213.24)","(187372.40, 190005.42, 194401.64)","(219051.73, 215613.21, 213481.06)"
syslog-facility,"(190566.31, 194668.68, 191758.12)","(191910.19, 191974.54, 193174.40)","(204285.06, 213743.47, 215163.45)"
loglevel,"(204299.06, 190534.18, 203486.71)","(194257.27, 193148.09, 193333.80)","(204292.78, 216057.88, 204823.65)"
maxmemory-policy,"(194414.86, 196837.78, 195415.77)","(191908.16, 194236.20, 193405.85)","(209923.01, 213396.92, 215703.74)"
appendfsync,"(192675.21, 199118.43, 199866.41)","(194722.01, 193001.19, 194493.28)","(222141.47, 209837.94, 221333.99)"
oom-score-adj,"(203042.34, 191634.96, 199024.71)","(184909.72, 197818.59, 197086.51)","(216544.44, 215816.38, 216543.51)"
acl-pubsub-default,"(189618.52, 190316.62, 189928.16)","(198109.09, 190058.97, 189388.03)","(209799.89, 216183.45, 213928.14)"
sanitize-dump-payload,"(190426.68, 193287.67, 193171.54)","(189711.85, 193947.36, 191368.81)","(220969.66, 220413.09, 213886.30)"
databases,"(193402.66, 199099.39, 193696.96)","(199872.55, 195757.45, 187403.88)","(212141.07, 213953.49, 214832.89)"
port,"(202959.43, 194724.93, 197398.39)","(188894.29, 195586.66, 197371.98)","(222833.06, 211587.12, 211043.08)"
io-threads,"(212765.97, 195183.12, 200628.80)","(208333.33, 201393.72, 198248.35)","(216220.59, 214368.97, 213884.66)"
auto-aof-rewrite-percentage,"(169491.53, 189924.59, 189107.92)","(210540.12, 205476.63, 192301.93)","(221666.24, 214767.04, 216983.54)"
cluster-replica-validity-factor,"(190420.83, 202429.58, 197088.56)","(204081.64, 202285.11, 189116.51)","(216918.51, 214908.64, 214325.79)"
tcp-keepalive,"(189255.07, 189798.64, 198896.94)","(189103.31, 192551.85, 194790.20)","(218425.32, 212725.48, 211736.16)"
cluster-migration-barrier,"(208333.33, 196590.22, 195968.41)","(226618.16, 211394.72, 192281.40)","(209061.62, 218305.95, 218351.15)"
active-defrag-cycle-min,"(204347.16, 190811.38, 194284.74)","(201718.59, 191842.09, 189416.86)","(208677.61, 219496.34, 213628.18)"
active-defrag-cycle-max,"(181818.19, 202743.22, 196393.59)","(204081.64, 197873.44, 194930.53)","(203785.80, 217484.80, 212502.72)"
active-defrag-threshold-lower,"(181818.19, 203021.83, 200930.22)","(178571.42, 179637.57, 195846.04)","(204147.47, 207863.88, 221027.18)"
active-defrag-threshold-upper,"(217391.30, 178549.78, 206180.04)","(178571.42, 196548.03, 207532.48)","(219444.95, 212396.39, 216140.86)"
lfu-log-factor,"(185185.19, 207575.19, 194244.04)","(201040.71, 199864.61, 198057.70)","(242415.25, 208022.73, 201836.62)"
replica-priority,"(208333.33, 204438.83, 187561.15)","(201371.92, 189618.59, 189022.18)","(232179.72, 196726.74, 223913.66)"
repl-diskless-sync-delay,"(229363.40, 203823.97, 167195.39)","(178571.42, 186030.84, 181487.30)","(211606.08, 216530.67, 212730.22)"
maxmemory-samples,"(203841.61, 203766.56, 194082.38)","(199887.89, 199611.63, 194377.04)","(222524.03, 207532.19, 213559.56)"
maxmemory-eviction-tenacity,"(221893.93, 213674.34, 203555.39)","(178571.42, 207019.56, 179050.73)","(238001.29, 216009.75, 225244.84)"
timeout,"(212765.97, 183412.29, 185312.82)","(185079.26, 191650.23, 198486.20)","(216220.37, 216198.91, 213274.19)"
tcp-backlog,"(217391.30, 197743.48, 205332.21)","(187228.45, 195063.75, 190632.90)","(243363.30, 185858.56, 203064.28)"
repl-timeout,"(185185.19, 201183.60, 199756.54)","(184767.38, 187481.67, 190394.98)","(213053.52, 213643.87, 214053.60)"
list-compress-depth,"(208333.33, 194903.26, 200220.01)","(181818.19, 187016.60, 187607.79)","(250507.55, 178651.65, 245310.08)"
active-expire-effort,"(181818.19, 198026.13, 200269.60)","(195463.85, 195087.70, 192724.05)","(244687.99, 242300.17, 218861.95)"
hz,"(185185.19, 191182.10, 192114.47)","(201205.38, 185813.35, 187721.34)","(255258.11, 174846.79, 182189.24)"
min-replicas-to-write,"(197645.89, 195846.34, 195745.28)","(192678.57, 193762.83, 193250.30)","(215486.35, 214903.31, 213883.00)"
maxclients,"(198478.15, 197747.32, 194901.16)","(186084.27, 199555.83, 190085.74)","(218768.19, 217639.04, 215714.19)"
active-defrag-max-scan-fields,"(205597.63, 200945.00, 196519.26)","(188915.13, 192294.83, 197868.71)","(219898.19, 217265.14, 217498.00)"
slowlog-max-len,"(201063.70, 198779.20, 193411.90)","(197479.21, 195757.53, 192483.83)","(220622.60, 210720.10, 216027.75)"
acllog-max-len,"(187543.22, 196271.32, 204470.34)","(187419.29, 190414.38, 199094.13)","(206793.17, 218775.12, 207608.46)"
lua-time-limit,"(204361.69, 198501.87, 195714.47)","(189063.70, 197034.72, 194682.98)","(221567.09, 211899.17, 208103.34)"
cluster-node-timeout,"(186963.60, 191354.14, 191518.19)","(187959.99, 195614.94, 197020.81)","(215087.99, 214382.22, 213553.73)"
slowlog-log-slower-than,"(196098.18, 196279.08, 196818.42)","(195030.05, 193749.20, 193644.26)","(214092.17, 214321.99, 214403.42)"
latency-monitor-threshold,"(198190.91, 196277.16, 196905.96)","(192148.88, 193335.63, 193403.45)","(214859.04, 213918.61, 214380.70)"
proto-max-bulk-len,"(198268.46, 194955.32, 197954.18)","(184362.51, 195811.08, 189717.22)","(208219.44, 218973.59, 212313.43)"
stream-node-max-entries,"(195911.25, 196382.64, 196237.87)","(193549.89, 193511.98, 193345.41)","(213925.51, 214285.95, 214464.88)"
repl-backlog-size,"(195625.81, 197322.87, 197380.77)","(202902.68, 186037.79, 193079.17)","(205016.03, 206286.70, 222439.14)"
maxmemory,"(195579.58, 197037.13, 196295.16)","(184730.86, 196081.56, 201448.03)","(223682.68, 219146.47, 212017.84)"
set-max-intset-entries,"(196843.44, 196531.26, 196768.79)","(193991.35, 193829.19, 192881.73)","(213750.33, 214104.17, 214394.75)"
active-defrag-ignore-bytes,"(198079.92, 195181.67, 195681.59)","(194804.95, 194297.18, 192325.04)","(212996.24, 214853.05, 215537.80)"
stream-node-max-bytes,"(191904.93, 194887.90, 201099.37)","(192191.18, 194285.93, 194423.35)","(219903.70, 214306.74, 216177.90)"
hll-sparse-max-bytes,"(198320.51, 198044.46, 197744.62)","(194776.13, 193809.98, 192091.94)","(216100.27, 215396.61, 215740.31)"
tracking-table-max-keys,"(200122.15, 195841.95, 199552.70)","(193286.78, 193446.13, 193389.74)","(224942.04, 203695.16, 217425.68)"
client-query-buffer-limit,"(198877.57, 196665.54, 195014.70)","(190390.11, 191462.12, 193194.30)","(204060.28, 208929.82, 205009.91)"
repl-backlog-ttl,"(195229.32, 197107.89, 195943.65)","(188220.44, 195637.46, 194186.41)","(205537.54, 217400.00, 217838.14)"
tls-session-cache-size,"(197271.59, 197196.90, 196213.85)","(192010.06, 193284.79, 193612.08)","(215462.12, 213429.26, 214695.39)"
tls-session-cache-timeout,"(197317.85, 196996.46, 196961.28)","(193666.87, 193474.20, 193517.76)","(216248.19, 215314.21, 212646.51)"
tls-cluster,"(199127.55, 197410.21)","(188626.63, 197182.68)","(224278.80, 219460.11)"
tls-replication,"(201427.26, 196169.15)","(199624.10, 191780.45)","(212590.08, 215301.73)"
tls-auth-clients,"(192963.97, 199652.77, 199705.48)","(184149.31, 185963.26, 190526.55)","(222868.50, 208487.02, 207761.94)"
tls-prefer-server-ciphers,"(187764.56, 201190.87)","(196939.67, 192549.74)","(213752.22, 214519.66)"
tls-session-caching,"(195565.58, 197570.44)","(198066.35, 195442.96)","(220231.51, 219229.36)"
tls-cert-file,"(202191.47, 197083.81, 199990.78)","(189867.67, 189988.57, 191082.54)","(208207.39, 211037.77, 212626.55)"
tls-key-file-pass,"(192825.75, 195466.55, 197968.40)","(186421.79, 187889.15, 188486.55)","(222806.28, 213404.17, 216232.96)"
tls-client-cert-file,"(189763.52, 191883.90, 195295.98)","(196014.03, 193006.19, 192361.22)","(208147.47, 220422.68, 210312.67)"
tls-client-key-file-pass,"(197763.22, 197567.80, 197040.08)","(192185.61, 194395.37, 193467.01)","(213232.03, 215378.95, 214136.99)"
tls-dh-params-file,"(192379.38, 194054.92, 194147.93)","(186760.67, 187213.96, 193843.64)","(216755.89, 213963.07, 215178.09)"
tls-ca-cert-file,"(198342.19, 195116.20, 196025.02)","(194131.95, 194007.99, 193280.59)","(214154.02, 214367.27, 214442.53)"
tls-ciphersuites,"(195656.31, 196099.91, 196897.73)","(194218.45, 193755.86, 193099.12)","(215742.90, 215051.66, 215258.00)"
list-max-ziplist-size,"(224998.44, 207903.17, 180071.78)","(195625.02, 193014.13, 193634.94)","(231826.10, 205538.32, 221418.64)"
client-output-buffer-limit,"(206127.83, 200431.70, 194700.08)","(185278.57, 191970.45, 185827.24)","(217255.15, 217210.47, 216497.34)"
