,CodeDeps,OnlyinCode,MixedOptions,Perf. Only Option,|C| ¡Ý 3
HTTPD,4,3,2,2,3
LIGHTTPD,2,2,2,0,0
NGINX,4,2,1,3,2
REDIS,11,3,6,5,4
MYSQL,6,0,3,3,1
HDFS,12,8,9,3,2
MAPREDUCE,9,6,6,3,0
HBASE,5,2,2,3,2
YARN,18,5,12,6,12
TOMCAT,2,0,0,2,2
Total,73,31,43,30,28
