Precision,Recall,F1Score
0.3564224988306618,0.29997845252717575,0.34392624919954723
0.3595221348448843,0.31131544482419127,0.3457575529443729
0.3576573904231743,0.3044309872371183,0.3275356331066801
0.3555853364524258,0.302380027087208,0.3331246300859123
0.3541411465109644,0.32220591175222957,0.339305495803269
0.35849601996051533,0.3135382252441683,0.3295743082453246
0.3557339149802123,0.31133868678553933,0.3314082847930746
0.3539636138761429,0.3150438602372521,0.33734950528172347
0.34958251752887837,0.31483977855356554,0.32808291415649704
0.3544867035118877,0.31947461438345465,0.33949802218819636
