Precision,Recall,F1Score
0.16474248215228754,0.1257503921134126,0.14563694809881375
0.16125712761239067,0.12760623227511075,0.16533595422762642
0.1624425591234479,0.125205804855461,0.1316406750981276
0.16010784880747592,0.12821136242258294,0.1479126265526651
0.15864397667468044,0.1258191318229906,0.14969150252424576
0.15966831983114782,0.1370468750544598,0.1392924549953523
0.158107883048218,0.1301544710022291,0.14442503726913872
0.15864395348121907,0.12027411393176048,0.12999624554643344
0.16179142452095494,0.13026667709116305,0.1382006888474171
0.1615846411755235,0.11861952504942107,0.14908764761103838
