Precision,Recall,F1Score
0.7426542782389698,0.2364768186427166,0.41445605374622424
0.7631401633803606,0.22732958076558438,0.38172211175576126
0.7903597354305126,0.2580774935706347,0.3622136419193529
0.7492496384624825,0.2497247628235678,0.3845847282470374
0.7702190392974141,0.25953223973676937,0.4005823934295315
0.7554774432797345,0.24987562413232672,0.40636558972607023
0.7718183427052607,0.24474579115588033,0.3829860826520323
0.7860518115457644,0.2429676591521778,0.3787349860073969
0.7794272181831892,0.25527670409755643,0.3962228476626431
0.7843453180491239,0.24264776372986738,0.37870097221166393
