,string,integer,float,boolean,enumeration,others,Loop,Memory,IO,Cache,error,network,Thread
FP1,1,1,0,0,0,0,0,0,0,0,1,0,0
FP2,2,11,0,4,4,1,3,11,3,9,15,0,0
FP3,5,21,0,13,1,1,1,21,1,12,15,0,0
