,string,integer,float,boolean,enumeration,others,Loop,Memory,IO,Cache,error,network,Thread
FP1,0,1,0,2,0,0,0,1,0,1,1,1,0
FP2,1,7,0,4,2,1,1,3,0,4,10,1,0
FP3,3,19,0,11,2,0,2,16,0,6,9,7,0
