,string,integer,float,boolean,enumeration,others,Loop,Memory,IO,Cache,error,network,Thread
FP1,0,0,0,0,0,0,0,0,0,0,0,0,0
FP2,0,12,0,13,0,0,1,8,0,10,13,8,0
FP3,0,17,0,5,0,0,0,0,0,2,5,16,0
