,string,integer,float,boolean,enumeration,others,Loop,Memory,IO,Cache,error,network,Thread
FP1,0,0,0,0,0,0,0,0,0,0,0,0,0
FP2,2,3,0,3,3,0,1,3,0,4,5,4,0
FP3,2,4,0,3,3,0,1,2,0,5,3,4,0
