software,precision,recall,fscore
httpd1,0.1428571428571428,0.1538461538461538,0.1481481481481481
httpd1,0.1428571428571428,0.1538461538461538,0.1481481481481481
httpd1,0.1538461538461538,0.1538461538461538,0.1538461538461538
httpd1,0.1538461538461538,0.1538461538461538,0.1538461538461538
httpd1,0.1428571428571428,0.1538461538461538,0.1481481481481481
httpd1,0.0833333333333333,0.0769230769230769,0.08
httpd1,0.1538461538461538,0.1538461538461538,0.1538461538461538
httpd1,0.1538461538461538,0.1538461538461538,0.1538461538461538
httpd1,0.1538461538461538,0.1538461538461538,0.1538461538461538
httpd1,0.1428571428571428,0.1538461538461538,0.1481481481481481
