software,precision,recall,fscore
yarn,0.1590909090909091,0.3181818181818182,0.2121212121212121
yarn,0.1555555555555555,0.3181818181818182,0.208955223880597
yarn,0.1692307692307692,0.3333333333333333,0.2244897959183673
yarn,0.1678832116788321,0.3484848484848485,0.2266009852216748
yarn,0.1627906976744186,0.3181818181818182,0.2153846153846154
yarn,0.15625,0.303030303030303,0.2061855670103092
yarn,0.1726618705035971,0.3636363636363636,0.2341463414634146
yarn,0.1641791044776119,0.3333333333333333,0.22
yarn,0.1654135338345864,0.3333333333333333,0.2211055276381909
yarn,0.1590909090909091,0.3181818181818182,0.2121212121212121
