software,precision,recall,fscore
mapreduce1,0.2134831460674157,0.4871794871794871,0.296875
mapreduce1,0.217391304347826,0.5128205128205128,0.3053435114503817
mapreduce1,0.2134831460674157,0.4871794871794871,0.296875
mapreduce1,0.2247191011235955,0.5128205128205128,0.3125
mapreduce1,0.2134831460674157,0.4871794871794871,0.296875
mapreduce1,0.2197802197802197,0.5128205128205128,0.3076923076923077
mapreduce1,0.2234042553191489,0.5384615384615384,0.3157894736842105
mapreduce1,0.2043010752688172,0.4871794871794871,0.2878787878787879
mapreduce1,0.2127659574468085,0.5128205128205128,0.3007518796992481
mapreduce1,0.217391304347826,0.5128205128205128,0.3053435114503817
