software,precision,recall,fscore
hdfs1,0.3243243243243243,0.5333333333333333,0.4033613445378151
hdfs1,0.32,0.5333333333333333,0.4
hdfs1,0.3243243243243243,0.5333333333333333,0.4033613445378151
hdfs1,0.3157894736842105,0.5333333333333333,0.396694214876033
hdfs1,0.3157894736842105,0.5333333333333333,0.396694214876033
hdfs1,0.3194444444444444,0.5111111111111111,0.3931623931623931
hdfs1,0.2972972972972973,0.4888888888888889,0.3697478991596639
hdfs1,0.32,0.5333333333333333,0.4
hdfs1,0.3157894736842105,0.5333333333333333,0.396694214876033
hdfs1,0.3246753246753247,0.5555555555555556,0.4098360655737705
