name,valuename,value
yarn.dispatcher.drain-events.timeout,min,60000
yarn.dispatcher.drain-events.timeout,default,600000
yarn.dispatcher.drain-events.timeout,max,600000
yarn.dispatcher.print-events-info.threshold,min,1000
yarn.dispatcher.print-events-info.threshold,default,5000
yarn.dispatcher.print-events-info.threshold,max,10000
yarn.dispatcher.cpu-monitor.samples-per-min,min,0
yarn.dispatcher.cpu-monitor.samples-per-min,default,60
yarn.dispatcher.cpu-monitor.samples-per-min,max,120
yarn.resourcemanager.placement-constraints.algorithm.pool-size,min,1
yarn.resourcemanager.placement-constraints.algorithm.pool-size,default,5
yarn.resourcemanager.placement-constraints.algorithm.pool-size,max,10
yarn.resourcemanager.placement-constraints.scheduler.pool-size,min,1
yarn.resourcemanager.placement-constraints.scheduler.pool-size,default,5
yarn.resourcemanager.placement-constraints.scheduler.pool-size,max,10
yarn.http.policy,min,HTTP_ONLY
yarn.http.policy,default,HTTPS_ONLY
yarn.http.policy,max,HTTPS_ONLY
yarn.resourcemanager.admin.client.thread-count,min,1
yarn.resourcemanager.admin.client.thread-count,default,5
yarn.resourcemanager.admin.client.thread-count,max,10
yarn.resourcemanager.connect.max-wait.ms,min,300000
yarn.resourcemanager.connect.max-wait.ms,default,600000
yarn.resourcemanager.connect.max-wait.ms,max,1800000
yarn.resourcemanager.connect.retry-interval.ms,min,10000
yarn.resourcemanager.connect.retry-interval.ms,default,20000
yarn.resourcemanager.connect.retry-interval.ms,max,60000
yarn.resourcemanager.container.liveness-monitor.interval-ms,min,300000
yarn.resourcemanager.container.liveness-monitor.interval-ms,default,600000
yarn.resourcemanager.container.liveness-monitor.interval-ms,max,1200000
yarn.resourcemanager.webapp.delegation-token-auth-filter.enabled,min,FALSE
yarn.resourcemanager.webapp.delegation-token-auth-filter.enabled,default,TRUE
yarn.resourcemanager.webapp.delegation-token-auth-filter.enabled,max,TRUE
yarn.nm.liveness-monitor.expiry-interval-ms,min,30000
yarn.nm.liveness-monitor.expiry-interval-ms,default,60000
yarn.nm.liveness-monitor.expiry-interval-ms,max,600000
yarn.resourcemanager.resource-tracker.client.thread-count,min,1
yarn.resourcemanager.resource-tracker.client.thread-count,default,5
yarn.resourcemanager.resource-tracker.client.thread-count,max,20
yarn.scheduler.minimum-allocation-mb,min,256
yarn.scheduler.minimum-allocation-mb,default,512
yarn.scheduler.minimum-allocation-mb,max,4096
yarn.scheduler.maximum-allocation-vcores,min,1
yarn.scheduler.maximum-allocation-vcores,default,8
yarn.scheduler.maximum-allocation-vcores,max,32
yarn.resourcemanager.recovery.enabled,min,FALSE
yarn.resourcemanager.recovery.enabled,default,TRUE
yarn.resourcemanager.recovery.enabled,max,TRUE
yarn.resourcemanager.work-preserving-recovery.enabled,min,FALSE
yarn.resourcemanager.work-preserving-recovery.enabled,default,TRUE
