name,valuename,value
allowBackslash,min,FALSE
allowBackslash,default,FALSE
allowBackslash,max,TRUE
allowTrace,min,FALSE
allowTrace,default,FALSE
allowTrace,max,TRUE
asyncTimeout,min,0
asyncTimeout,default,30000
asyncTimeout,max,2147483647
discardFacades,min,FALSE
discardFacades,default,FALSE
discardFacades,max,TRUE
enableLookups,min,FALSE
enableLookups,default,FALSE
enableLookups,max,TRUE
encodedSolidusHandling,min,reject
encodedSolidusHandling,default,reject
encodedSolidusHandling,max,passthrough
enforceEncodingInGetWriter,min,FALSE
enforceEncodingInGetWriter,default,FALSE
enforceEncodingInGetWriter,max,TRUE
maxCookieCount,min,1
maxCookieCount,default,100
maxCookieCount,max,2147483647
maxParameterCount,min,1
maxParameterCount,default,1000
maxParameterCount,max,2147483647
maxPostSize,min,1
maxPostSize,default,1048576
maxPostSize,max,2147483647
maxSavePostSize,min,1
maxSavePostSize,default,1048576
maxSavePostSize,max,2147483647
parseBodyMethods,min,GET
parseBodyMethods,default,POST
parseBodyMethods,max,TRACE
port,min,0
port,default,8080
port,max,65535
protocol,min,HTTP/1.0
protocol,default,HTTP/1.1
protocol,max,HTTP/2.0
proxyName,min,a
proxyName,default,localhost
proxyName,max,z
proxyPort,min,0
proxyPort,default,8080
proxyPort,max,65535
redirectPort,min,0
redirectPort,default,8080
