name,valuename,value
io-threads,min,1
io-threads,max,128
io-threads,default,1
auto-aof-rewrite-percentage,min,0
auto-aof-rewrite-percentage,max,2147483647
auto-aof-rewrite-percentage,default,100
cluster-replica-validity-factor,min,0
cluster-replica-validity-factor,max,2147483647
cluster-replica-validity-factor,default,10
list-max-ziplist-size,min,-2147483648
list-max-ziplist-size,max,2147483647
list-max-ziplist-size,default,-2
tcp-keepalive,min,0
tcp-keepalive,max,2147483647
tcp-keepalive,default,300
cluster-migration-barrier,min,0
cluster-migration-barrier,max,2147483647
cluster-migration-barrier,default,1
active-defrag-cycle-min,min,1
active-defrag-cycle-min,max,99
active-defrag-cycle-min,default,1
active-defrag-cycle-max,min,1
active-defrag-cycle-max,max,99
active-defrag-cycle-max,default,25
active-defrag-threshold-lower,min,0
active-defrag-threshold-lower,max,1000
active-defrag-threshold-lower,default,10
active-defrag-threshold-upper,min,0
active-defrag-threshold-upper,max,1000
active-defrag-threshold-upper,default,100
lfu-log-factor,min,0
lfu-log-factor,max,2147483647
lfu-log-factor,default,10
lfu-decay-time,min,0
lfu-decay-time,max,2147483647
lfu-decay-time,default,1
replica-priority,min,0
replica-priority,max,2147483647
replica-priority,default,100
repl-diskless-sync-delay,min,0
repl-diskless-sync-delay,max,2147483647
repl-diskless-sync-delay,default,5
maxmemory-samples,min,1
maxmemory-samples,max,2147483647
maxmemory-samples,default,5
maxmemory-eviction-tenacity,min,0
maxmemory-eviction-tenacity,max,100
maxmemory-eviction-tenacity,default,10
timeout,min,0
timeout,max,2147483647
