name,valuename,value
mapreduce.job.committer.setup.cleanup.needed,min,FALSE
mapreduce.job.committer.setup.cleanup.needed,default,FALSE
mapreduce.job.committer.setup.cleanup.needed,max,TRUE
mapreduce.task.io.sort.factor,min,5
mapreduce.task.io.sort.factor,default,10
mapreduce.task.io.sort.factor,max,100
mapreduce.task.io.sort.mb,min,10
mapreduce.task.io.sort.mb,default,100
mapreduce.task.io.sort.mb,max,1024
mapreduce.map.sort.spill.percent,min,0.05
mapreduce.map.sort.spill.percent,default,0.8
mapreduce.map.sort.spill.percent,max,0.95
mapreduce.job.local-fs.single-disk-limit.bytes,min,0
mapreduce.job.local-fs.single-disk-limit.bytes,default,-1
mapreduce.job.local-fs.single-disk-limit.bytes,max,-1
mapreduce.job.local-fs.single-disk-limit.check.interval-ms,min,1000
mapreduce.job.local-fs.single-disk-limit.check.interval-ms,default,10000
mapreduce.job.local-fs.single-disk-limit.check.interval-ms,max,30000
mapreduce.job.local-fs.single-disk-limit.check.kill-limit-exceed,min,FALSE
mapreduce.job.local-fs.single-disk-limit.check.kill-limit-exceed,default,FALSE
mapreduce.job.local-fs.single-disk-limit.check.kill-limit-exceed,max,TRUE
mapreduce.job.dfs.storage.capacity.kill-limit-exceed,min,TRUE
mapreduce.job.dfs.storage.capacity.kill-limit-exceed,default,TRUE
mapreduce.job.dfs.storage.capacity.kill-limit-exceed,max,FALSE
mapreduce.job.maps,min,1
mapreduce.job.maps,default,1
mapreduce.job.maps,max,1000
mapreduce.job.reduces,min,1
mapreduce.job.reduces,default,1
mapreduce.job.reduces,max,1000
mapreduce.job.running.map.limit,min,1
mapreduce.job.running.map.limit,default,1
mapreduce.job.running.map.limit,max,1000
mapreduce.job.running.reduce.limit,min,1
mapreduce.job.running.reduce.limit,default,1
mapreduce.job.running.reduce.limit,max,1000
mapreduce.job.max.map,min,1
mapreduce.job.max.map,default,-1
mapreduce.job.max.map,max,-1
mapreduce.job.reducer.preempt.delay.sec,min,0
mapreduce.job.reducer.preempt.delay.sec,default,60
mapreduce.job.reducer.preempt.delay.sec,max,3600
mapreduce.job.reducer.unconditional-preempt.delay.sec,min,0
mapreduce.job.reducer.unconditional-preempt.delay.sec,default,60
mapreduce.job.reducer.unconditional-preempt.delay.sec,max,3600
mapreduce.job.max.split.locations,min,1
mapreduce.job.max.split.locations,default,10
mapreduce.job.max.split.locations,max,100
mapreduce.job.split.metainfo.maxsize,min,1
mapreduce.job.split.metainfo.maxsize,default,1024
