name,valuename,value
hbase.cluster.distributed,min,FALSE
hbase.cluster.distributed,default,TRUE
hbase.cluster.distributed,max,TRUE
hbase.zookeeper.quorum,min,127.0.0.1
hbase.zookeeper.quorum,default,127.0.0.1
hbase.zookeeper.quorum,max,"host1.mydomain.com,host2.mydomain.com,host3.mydomain.com"
zookeeper.recovery.retry.maxsleeptime,min,0
zookeeper.recovery.retry.maxsleeptime,default,1000
zookeeper.recovery.retry.maxsleeptime,max,60000
hbase.master.logcleaner.ttl,min,0
hbase.master.logcleaner.ttl,default,600000
hbase.master.logcleaner.ttl,max,600000
hbase.master.hfilecleaner.plugins,min,org.apache.hadoop.hbase.master.cleaner.TimeToLiveHFileCleaner
hbase.master.hfilecleaner.plugins,default,org.apache.hadoop.hbase.master.cleaner.TimeToLiveHFileCleaner
hbase.master.hfilecleaner.plugins,max,"org.apache.hadoop.hbase.master.cleaner.TimeToLiveHFileCleaner,org.apache.hadoop.hbase.master.cleaner.TimeToLiveMasterLocalStoreHFileCleaner"
hbase.master.infoserver.redirect,min,FALSE
hbase.master.infoserver.redirect,default,FALSE
hbase.master.infoserver.redirect,max,TRUE
hbase.master.fileSplitTimeout,min,0
hbase.master.fileSplitTimeout,default,600000
hbase.master.fileSplitTimeout,max,600000
hbase.regionserver.handler.count,min,1
hbase.regionserver.handler.count,default,10
hbase.regionserver.handler.count,max,128
hbase.ipc.server.callqueue.handler.factor,min,0
hbase.ipc.server.callqueue.handler.factor,default,1
hbase.ipc.server.callqueue.handler.factor,max,1
hbase.ipc.server.callqueue.read.ratio,min,0
hbase.ipc.server.callqueue.read.ratio,default,0.5
hbase.ipc.server.callqueue.read.ratio,max,1
hbase.ipc.server.callqueue.scan.ratio,min,0
hbase.ipc.server.callqueue.scan.ratio,default,0.5
hbase.ipc.server.callqueue.scan.ratio,max,1
hbase.regionserver.msginterval,min,1000
hbase.regionserver.msginterval,default,5000
hbase.regionserver.msginterval,max,60000
hbase.regionserver.logroll.period,min,60000
hbase.regionserver.logroll.period,default,600000
hbase.regionserver.logroll.period,max,3600000
hbase.regionserver.logroll.errors.tolerated,min,0
hbase.regionserver.logroll.errors.tolerated,default,5
hbase.regionserver.logroll.errors.tolerated,max,10
hbase.regionserver.global.memstore.size,min,0.2
hbase.regionserver.global.memstore.size,default,0.4
hbase.regionserver.global.memstore.size,max,0.8
hbase.regionserver.global.memstore.size.lower.limit,min,0.8
hbase.regionserver.global.memstore.size.lower.limit,default,0.9
hbase.regionserver.global.memstore.size.lower.limit,max,1
hbase.regionserver.optionalcacheflushinterval,min,0
hbase.regionserver.optionalcacheflushinterval,default,3600000
