name,valuename,value
max_heap_table_size,default,16777216
max_heap_table_size,min,16384
max_heap_table_size,max,1.84467E+19
tmp_table_size,default,16777216
tmp_table_size,min,1024
tmp_table_size,max,1.84467E+19
end_markers_in_json,default,OFF
windowing_use_high_precision,default,ON
optimizer_trace_offset,default,-1
optimizer_trace_offset,min,-2147483647
optimizer_trace_offset,max,2147483647
optimizer_trace_limit,default,1
optimizer_trace_limit,min,0
optimizer_trace_limit,max,2147483647
optimizer_trace_max_mem_size,default,1048576
optimizer_trace_max_mem_size,min,0
optimizer_trace_max_mem_size,max,4294967295
autocommit,default,ON
sql_select_limit,default,1.84467E+19
sql_select_limit,min,0
sql_select_limit,max,1.84467E+19
max_join_size,default,1.84467E+19
max_join_size,min,1
max_join_size,max,1.84467E+19
bulk_insert_buffer_size,default,8388608
bulk_insert_buffer_size,min,0
bulk_insert_buffer_size,max,1.84467E+19
eq_range_index_dive_limit,default,200
eq_range_index_dive_limit,min,0
eq_range_index_dive_limit,max,4294967295
cte_max_recursion_depth,default,1000
cte_max_recursion_depth,min,0
cte_max_recursion_depth,max,4294967295
histogram_generation_max_mem_size,default,20000000
histogram_generation_max_mem_size,min,1000000
histogram_generation_max_mem_size,max ,1.84467E+19
join_buffer_size,default,262144
join_buffer_size,min,128
join_buffer_size,max,1.84467E+19
lock_wait_timeout,default,31536000
lock_wait_timeout,min,1
lock_wait_timeout,max,31536000
max_allowed_packet,default,67108864
max_allowed_packet,min,1024
max_allowed_packet,max,1073741824
max_error_count,default,1024
max_error_count,min,0
max_error_count,max,65535
max_length_for_sort_data,default,4096
max_length_for_sort_data,min,4
