name,valuename,value
dfs.datanode.handler.count,min,2
dfs.datanode.handler.count,default,10
dfs.datanode.handler.count,max,100
dfs.namenode.heartbeat.recheck-interval,min,60000
dfs.namenode.heartbeat.recheck-interval,default,100000
dfs.namenode.heartbeat.recheck-interval,max,600000
dfs.http.policy,min,HTTP_ONLY
dfs.http.policy,default,HTTP_AND_HTTPS
dfs.http.policy,max,HTTP_AND_HTTPS
dfs.client.https.need-auth,min,FALSE
dfs.client.https.need-auth,default,FALSE
dfs.client.https.need-auth,max,TRUE
dfs.client.cached.conn.retry,min,1
dfs.client.cached.conn.retry,default,3
dfs.client.cached.conn.retry,max,10
dfs.datanode.dns.interface,min,default
dfs.datanode.dns.interface,default,eth0
dfs.datanode.dns.interface,max,eth0
dfs.default.chunk.view.size,min,4096
dfs.default.chunk.view.size,default,1048576
dfs.default.chunk.view.size,max,65536
dfs.datanode.du.reserved,min,0
dfs.datanode.du.reserved,default,0
dfs.datanode.du.reserved,max,10737418240
dfs.namenode.fs-limits.max-component-length,min,1
dfs.namenode.fs-limits.max-component-length,default,255
dfs.namenode.fs-limits.max-component-length,max,1024
dfs.namenode.fs-limits.min-block-size,min,512
dfs.namenode.fs-limits.min-block-size,default,1048576
dfs.namenode.fs-limits.min-block-size,max,1073741824
dfs.permissions.enabled,min,FALSE
dfs.permissions.enabled,default,TRUE
dfs.permissions.enabled,max,TRUE
dfs.namenode.acls.enabled,min,FALSE
dfs.namenode.acls.enabled,default,TRUE
dfs.namenode.acls.enabled,max,TRUE
dfs.block.access.token.enable,min,FALSE
dfs.block.access.token.enable,default,FALSE
dfs.block.access.token.enable,max,TRUE
dfs.block.access.key.update.interval,min,10
dfs.block.access.key.update.interval,default,10
dfs.block.access.key.update.interval,max,1440
dfs.block.access.token.lifetime,min,10
dfs.block.access.token.lifetime,default,1440
dfs.block.access.token.lifetime,max,1440
dfs.replication,min,1
dfs.replication,default,3
dfs.replication,max,10
dfs.replication.max,min,512
dfs.replication.max,default,512
